,Unnamed: 0,aspect,base_category,MAIN_CATEGORY
1468,1468,infotainment system,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
1469,1469,events,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
1470,1470,carrying large items,boot / cargo,FUNCTIONAL / UTILITY FEATURES
1471,1471,rear air conditioning,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
1472,1472,diesel engines,engine / power train,POWERTRAIN / PERFORMANCE
1473,1473,mercedes-benz  design,design,EMOTIONAL / SENSORY / VISUAL
1474,1474,heads up display,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
1475,1475,figures,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
1476,1476,interior loom,interior,INTERIOR / COMFORT / ERGONOMICS
1477,1477,price point feature,functionality & features,FUNCTIONAL / UTILITY FEATURES
1478,1478,control over region,driving dynamics / handling,HANDLING / DYNAMICS
1479,1479,toggle switches,physical controls,INTERIOR / COMFORT / ERGONOMICS
1480,1480,couch,seats,INTERIOR / COMFORT / ERGONOMICS
1481,1481,back comfort,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
1482,1482,choice,options & specifications,GENERAL INFORMATION
1483,1483,focus,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
1484,1484,door bin,storage & utility,FUNCTIONAL / UTILITY FEATURES
1485,1485,exhaust systems,exhaust,POWERTRAIN / PERFORMANCE
1486,1486,fragrance,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
1487,1487,wireless charging,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
1488,1488,air intakes,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
1489,1489,swivel controller,physical controls,INTERIOR / COMFORT / ERGONOMICS
1490,1490,metallic speakers,audio,EMOTIONAL / SENSORY / VISUAL
1491,1491,torque vectoring,engine / power train,POWERTRAIN / PERFORMANCE
1492,1492,front motor setup,engine / power train,POWERTRAIN / PERFORMANCE
1493,1493,mileage,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
1494,1494,engine automatic switch off,engine / power train,POWERTRAIN / PERFORMANCE
1495,1495,comfy setting,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
1496,1496,virtual cockpit,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
1497,1497,platform base,chassis / structural,STRUCTURAL
1498,1498,back room,passenger space,INTERIOR / COMFORT / ERGONOMICS
1499,1499,downhill speed regulation,acceleration,POWERTRAIN / PERFORMANCE
1500,1500,0.1 litre,engine / power train,POWERTRAIN / PERFORMANCE
1501,1501,entertainment display,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
1502,1502,rock crawling,road terrain,HANDLING / DYNAMICS
1503,1503,cornering,cornering,HANDLING / DYNAMICS
1504,1504,device,equipment,FUNCTIONAL / UTILITY FEATURES
1505,1505,quality,quality & durability,GENERAL INFORMATION
1506,1506,drivers,drive,POWERTRAIN / PERFORMANCE
1507,1507,drive in town,drive,POWERTRAIN / PERFORMANCE
1508,1508,overall seating position,seats,INTERIOR / COMFORT / ERGONOMICS
1509,1509,v8 engine,engine / power train,POWERTRAIN / PERFORMANCE
1510,1510,hatch,body type,EXTERIOR / STYLING / DESIGN
1511,1511,traction management,traction / stability,HANDLING / DYNAMICS
1512,1512,emission,fuel / energy / charging,POWERTRAIN / PERFORMANCE
1513,1513,nine speed automatic,transmission,POWERTRAIN / PERFORMANCE
1514,1514,rear parking,parking,FUNCTIONAL / UTILITY FEATURES
1515,1515,wheel design,design,EMOTIONAL / SENSORY / VISUAL
1516,1516,durability,quality & durability,GENERAL INFORMATION
1517,1517,mode switch,driving dynamics / handling,HANDLING / DYNAMICS
1518,1518,down storage,storage & utility,FUNCTIONAL / UTILITY FEATURES
1519,1519,bmw i a8,model / generic car terms,GENERAL INFORMATION
1520,1520,material quality,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
1521,1521,front headlights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
1522,1522,20 inch wheel,wheels & tyres,HANDLING / DYNAMICS
1523,1523,upgrade premium plus package,packages / trims / variants,GENERAL INFORMATION
1524,1524,smell,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
1525,1525,bmw x1,model / generic car terms,GENERAL INFORMATION
1526,1526,gt three dry road,road terrain,HANDLING / DYNAMICS
1527,1527,c class,model / generic car terms,GENERAL INFORMATION
1528,1528,styling,design,EMOTIONAL / SENSORY / VISUAL
1529,1529,gearbox,transmission,POWERTRAIN / PERFORMANCE
1530,1530,seatbelt adjustment,safety,SAFETY
1531,1531,gearshift modifications,transmission,POWERTRAIN / PERFORMANCE
1532,1532,rear pillar,chassis / structural,STRUCTURAL
1533,1533,progress,driving dynamics / handling,HANDLING / DYNAMICS
1534,1534,central speaker,audio,EMOTIONAL / SENSORY / VISUAL
1535,1535,sport,driving dynamics / handling,HANDLING / DYNAMICS
1536,1536,center of gravity,weight,DISTANCE / MEASUREMENT /  COST
1537,1537,fender flares,body class,EXTERIOR / STYLING / DESIGN
1538,1538,get stuff in boot,boot / cargo,FUNCTIONAL / UTILITY FEATURES
1539,1539,visual presence,design,EMOTIONAL / SENSORY / VISUAL
1540,1540,heavy cornering,cornering,HANDLING / DYNAMICS
1541,1541,vibe,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
1542,1542,new x3,model / generic car terms,GENERAL INFORMATION
1543,1543,starting the car,functionality & features,FUNCTIONAL / UTILITY FEATURES
1544,1544,a3 series,model / generic car terms,GENERAL INFORMATION
1545,1545,graphics chip,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
1546,1546,satellite navigation system,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
1547,1547,ac,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
1548,1548,torque converter,engine / power train,POWERTRAIN / PERFORMANCE
1549,1549,mapping,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
1550,1550,steering wheel paddles,steering,HANDLING / DYNAMICS
1551,1551,comfort plus mode,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
1552,1552,rear spoiler,fuel / energy / charging,POWERTRAIN / PERFORMANCE
1553,1553,receiving position,seats,INTERIOR / COMFORT / ERGONOMICS
1554,1554,air scarf,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
1555,1555,carrying three headroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
1556,1556,new technology,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
1557,1557,station wagon,body type,EXTERIOR / STYLING / DESIGN
1558,1558,trunk,boot / cargo,FUNCTIONAL / UTILITY FEATURES
1559,1559,remote features,functionality & features,FUNCTIONAL / UTILITY FEATURES
1560,1560,interior design philosophy,design,EMOTIONAL / SENSORY / VISUAL
1561,1561,opening,doors,EXTERIOR / STYLING / DESIGN
1562,1562,rough surface,road terrain,HANDLING / DYNAMICS
1563,1563,lower lip,exterior materials & finish,EXTERIOR / STYLING / DESIGN
1564,1564,length,dimensions & measurements,DISTANCE / MEASUREMENT /  COST
1565,1565,dampers,suspension,HANDLING / DYNAMICS
1566,1566,central arm rest,seats,INTERIOR / COMFORT / ERGONOMICS
1567,1567,dials and buttons,physical controls,INTERIOR / COMFORT / ERGONOMICS
1568,1568,diesel with four turbos,engine / power train,POWERTRAIN / PERFORMANCE
1569,1569,rear seating,seats,INTERIOR / COMFORT / ERGONOMICS
1570,1570,handling,driving dynamics / handling,HANDLING / DYNAMICS
1571,1571,seal between the doors,doors,EXTERIOR / STYLING / DESIGN
1572,1572,foot room,passenger space,INTERIOR / COMFORT / ERGONOMICS
1573,1573,material,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
1574,1574,bits,generic description & miscellaneous,GENERAL INFORMATION
1575,1575,camera special effects,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
1576,1576,plugin hybrid,fuel / energy / charging,POWERTRAIN / PERFORMANCE
1577,1577,fifth portion,passenger space,INTERIOR / COMFORT / ERGONOMICS
1578,1578,functionality,functionality & features,FUNCTIONAL / UTILITY FEATURES
1579,1579,ride comfort,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
1580,1580,water jets,windscreen / wipers,SAFETY
1581,1581,middle chair,seats,INTERIOR / COMFORT / ERGONOMICS
1582,1582,knee airbag,safety,SAFETY
1583,1583,tray tables,storage & utility,FUNCTIONAL / UTILITY FEATURES
1584,1584,public roads,road terrain,HANDLING / DYNAMICS
1585,1585,well being,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
1586,1586,touch pad,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
1587,1587,center section,interior,INTERIOR / COMFORT / ERGONOMICS
1588,1588,start stop,engine / power train,POWERTRAIN / PERFORMANCE
1589,1589,user interface,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
1590,1590,seat,seats,INTERIOR / COMFORT / ERGONOMICS
1591,1591,output figures,engine / power train,POWERTRAIN / PERFORMANCE
1592,1592,entertainment system view,visibility & view,SAFETY
1593,1593,steering ratio,steering,HANDLING / DYNAMICS
1594,1594,carplay,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
1595,1595,bmw four serious,model / generic car terms,GENERAL INFORMATION
1596,1596,brake,brake,HANDLING / DYNAMICS
1597,1597,bonnet,bonnet,EXTERIOR / STYLING / DESIGN
1598,1598,storage tray,storage & utility,FUNCTIONAL / UTILITY FEATURES
1599,1599,centre armrest,seats,INTERIOR / COMFORT / ERGONOMICS
1600,1600,folding metal roof,roof,EXTERIOR / STYLING / DESIGN
1601,1601,load lift,boot / cargo,FUNCTIONAL / UTILITY FEATURES
1602,1602,eco pro mode,fuel / energy / charging,POWERTRAIN / PERFORMANCE
1603,1603,seatback release,seats,INTERIOR / COMFORT / ERGONOMICS
1604,1604,sports plus mode,driving dynamics / handling,HANDLING / DYNAMICS
1605,1605,rest of the car,generic description & miscellaneous,GENERAL INFORMATION
1606,1606,cruising,driver assistance,SAFETY
1607,1607,look,design,EMOTIONAL / SENSORY / VISUAL
1608,1608,lateral grip,traction / stability,HANDLING / DYNAMICS
1609,1609,boot storage cover,boot / cargo,FUNCTIONAL / UTILITY FEATURES
1610,1610,rear engine,engine / power train,POWERTRAIN / PERFORMANCE
1611,1611,centre console,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
1612,1612,acceleration noise,audio,EMOTIONAL / SENSORY / VISUAL
1613,1613,new r8,model / generic car terms,GENERAL INFORMATION
1614,1614,taxi drive,drive,POWERTRAIN / PERFORMANCE
1615,1615,comfort adaptive,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
1616,1616,touring body,body type,EXTERIOR / STYLING / DESIGN
1617,1617,tire pressure monitoring,wheels & tyres,HANDLING / DYNAMICS
1618,1618,gear select,transmission,POWERTRAIN / PERFORMANCE
1619,1619,driver assisstance technology,driver assistance,SAFETY
1620,1620,steering wheel control,steering,HANDLING / DYNAMICS
1621,1621,laser light headlights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
1622,1622,backseats,seats,INTERIOR / COMFORT / ERGONOMICS
1623,1623,deductive suspension,suspension,HANDLING / DYNAMICS
1624,1624,microphones,audio,EMOTIONAL / SENSORY / VISUAL
1625,1625,m6 port,model / generic car terms,GENERAL INFORMATION
1626,1626,get in and out -front,doors,EXTERIOR / STYLING / DESIGN
1627,1627,steering guidance,steering,HANDLING / DYNAMICS
1628,1628,extra bits of trim,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
1629,1629,spring,suspension,HANDLING / DYNAMICS
1630,1630,standard seats,seats,INTERIOR / COMFORT / ERGONOMICS
1631,1631,tail lights design,design,EMOTIONAL / SENSORY / VISUAL
1632,1632,net,storage & utility,FUNCTIONAL / UTILITY FEATURES
1633,1633,styling appeal,design,EMOTIONAL / SENSORY / VISUAL
1634,1634,reading light,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
1635,1635,loading,boot / cargo,FUNCTIONAL / UTILITY FEATURES
1636,1636,hood,bonnet,EXTERIOR / STYLING / DESIGN
1637,1637,manoeuvre in traffic,road terrain,HANDLING / DYNAMICS
1638,1638,leds,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
1639,1639,new q5,model / generic car terms,GENERAL INFORMATION
1640,1640,volvo xc60 drive,model / generic car terms,GENERAL INFORMATION
1641,1641,design quality,design,EMOTIONAL / SENSORY / VISUAL
1642,1642,gesture control,gesture / motion controls,TECHNOLOGY / ELECTRONICS / SOFTWARE
1643,1643,callipers,brake,HANDLING / DYNAMICS
1644,1644,crystal knob,physical controls,INTERIOR / COMFORT / ERGONOMICS
1645,1645,running cost,value / cost,DISTANCE / MEASUREMENT /  COST
1646,1646,highway,road terrain,HANDLING / DYNAMICS
1647,1647,saloon,body type,EXTERIOR / STYLING / DESIGN
1648,1648,door trim,exterior materials & finish,EXTERIOR / STYLING / DESIGN
1649,1649,overall picture,generic description & miscellaneous,GENERAL INFORMATION
1650,1650,seating position,seats,INTERIOR / COMFORT / ERGONOMICS
1651,1651,release button for center console,functionality & features,FUNCTIONAL / UTILITY FEATURES
1652,1652,third row leg room,passenger space,INTERIOR / COMFORT / ERGONOMICS
1653,1653,storage pouch,storage & utility,FUNCTIONAL / UTILITY FEATURES
1654,1654,high speed mobile internet,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
1655,1655,roundabouts,cornering,HANDLING / DYNAMICS
1656,1656,sport suspension mode,suspension,HANDLING / DYNAMICS
1657,1657,town,road terrain,HANDLING / DYNAMICS
1658,1658,option sheet,options & specifications,GENERAL INFORMATION
1659,1659,information display,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
1660,1660,sports model,model / generic car terms,GENERAL INFORMATION
1661,1661,front seat backs,seats,INTERIOR / COMFORT / ERGONOMICS
1662,1662,review of car,visibility & view,SAFETY
1663,1663,slippery track,road terrain,HANDLING / DYNAMICS
1664,1664,leather,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
1665,1665,window surround,windows / glass,EXTERIOR / STYLING / DESIGN
1666,1666,weight balance,weight,DISTANCE / MEASUREMENT /  COST
1667,1667,climate control,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
1668,1668,hybrid version,fuel / energy / charging,POWERTRAIN / PERFORMANCE
1669,1669,split gate height,boot / cargo,FUNCTIONAL / UTILITY FEATURES
1670,1670,tire pressure monitor,wheels & tyres,HANDLING / DYNAMICS
1671,1671,going downhill,road terrain,HANDLING / DYNAMICS
1672,1672,sides,side section,EXTERIOR / STYLING / DESIGN
1673,1673,sports plus exhaust,exhaust,POWERTRAIN / PERFORMANCE
1674,1674,center stack,interior,INTERIOR / COMFORT / ERGONOMICS
1675,1675,g class,model / generic car terms,GENERAL INFORMATION
1676,1676,curvy road,road terrain,HANDLING / DYNAMICS
1677,1677,middle setting,functionality & features,FUNCTIONAL / UTILITY FEATURES
1678,1678,performance amount,performance,POWERTRAIN / PERFORMANCE
1679,1679,smooth road,road terrain,HANDLING / DYNAMICS
1680,1680,x5,model / generic car terms,GENERAL INFORMATION
1681,1681,tray storage,storage & utility,FUNCTIONAL / UTILITY FEATURES
1682,1682,glove box latch,storage & utility,FUNCTIONAL / UTILITY FEATURES
1683,1683,get in,doors,EXTERIOR / STYLING / DESIGN
1684,1684,tronic gearbox,transmission,POWERTRAIN / PERFORMANCE
1685,1685,torque vectoring rear differential,traction / stability,HANDLING / DYNAMICS
1686,1686,electric seats,seats,INTERIOR / COMFORT / ERGONOMICS
1687,1687,audi a3 lineup,model / generic car terms,GENERAL INFORMATION
1688,1688,speed control,acceleration,POWERTRAIN / PERFORMANCE
1689,1689,emotion,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
1690,1690,life in tires,wheels & tyres,HANDLING / DYNAMICS
1691,1691,front space,passenger space,INTERIOR / COMFORT / ERGONOMICS
1692,1692,total range,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
1693,1693,performance,performance,POWERTRAIN / PERFORMANCE
1694,1694,rough roads,road terrain,HANDLING / DYNAMICS
1695,1695,sports car,model / generic car terms,GENERAL INFORMATION
1696,1696,rs6 color,exterior materials & finish,EXTERIOR / STYLING / DESIGN
1697,1697,bmw remote control parking,parking,FUNCTIONAL / UTILITY FEATURES
1698,1698,rest of the finish,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
1699,1699,aluminium,exterior materials & finish,EXTERIOR / STYLING / DESIGN
1700,1700,bumper,bumper,EXTERIOR / STYLING / DESIGN
1701,1701,steering precision,driving dynamics / handling,HANDLING / DYNAMICS
1702,1702,glove box size,storage & utility,FUNCTIONAL / UTILITY FEATURES
1703,1703,luxury package,packages / trims / variants,GENERAL INFORMATION
1704,1704,interior leather,interior,INTERIOR / COMFORT / ERGONOMICS
1705,1705,led lights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
1706,1706,cushions,seats,INTERIOR / COMFORT / ERGONOMICS
1707,1707,light cover,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
1708,1708,autonomous driving,drive,POWERTRAIN / PERFORMANCE
1709,1709,drift mode,driving dynamics / handling,HANDLING / DYNAMICS
1710,1710,windscreen wipers,windscreen / wipers,SAFETY
1711,1711,bmw,model / generic car terms,GENERAL INFORMATION
1712,1712,flaps,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
1713,1713,slip differential,traction / stability,HANDLING / DYNAMICS
1714,1714,widescreen setting,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
1715,1715,carpeting,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
1716,1716,twist road,road terrain,HANDLING / DYNAMICS
1717,1717,electronic shifter,transmission,POWERTRAIN / PERFORMANCE
1718,1718,interior,interior,INTERIOR / COMFORT / ERGONOMICS
1719,1719,s60 time,acceleration,POWERTRAIN / PERFORMANCE
1720,1720,i drive seven,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
1721,1721,bmw a8,model / generic car terms,GENERAL INFORMATION
1722,1722,rough road,road terrain,HANDLING / DYNAMICS
1723,1723,a4 boot,boot / cargo,FUNCTIONAL / UTILITY FEATURES
1724,1724,headlight,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
1725,1725,window lead,windows / glass,EXTERIOR / STYLING / DESIGN
1726,1726,blind spot monitoring,safety,SAFETY
1727,1727,dials,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
1728,1728,styling accents,design,EMOTIONAL / SENSORY / VISUAL
1729,1729,back pillar,chassis / structural,STRUCTURAL
1730,1730,people over six foot,passenger space,INTERIOR / COMFORT / ERGONOMICS
1731,1731,steering feel,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
1732,1732,reliability,value / cost,DISTANCE / MEASUREMENT /  COST
1733,1733,exhaust flaps,exhaust,POWERTRAIN / PERFORMANCE
1734,1734,air curtains,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
1735,1735,peddle operation,driving dynamics / handling,HANDLING / DYNAMICS
1736,1736,audi tron,model / generic car terms,GENERAL INFORMATION
1737,1737,corner comfort mode,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
1738,1738,driving environment,interior,INTERIOR / COMFORT / ERGONOMICS
1739,1739,put together,build quality / construction,STRUCTURAL
1740,1740,rev. counter,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
1741,1741,usability,storage & utility,FUNCTIONAL / UTILITY FEATURES
1742,1742,visibility at the front,visibility & view,SAFETY
1743,1743,driving environment lay out,drive,POWERTRAIN / PERFORMANCE
1744,1744,design details,design,EMOTIONAL / SENSORY / VISUAL
1745,1745,competition,generic description & miscellaneous,GENERAL INFORMATION
1746,1746,0 to 60 acceleration,acceleration,POWERTRAIN / PERFORMANCE
1747,1747,track,driving dynamics / handling,HANDLING / DYNAMICS
1748,1748,roadworks,road terrain,HANDLING / DYNAMICS
1749,1749,camber,road terrain,HANDLING / DYNAMICS
1750,1750,useable,storage & utility,FUNCTIONAL / UTILITY FEATURES
1751,1751,dirt,road terrain,HANDLING / DYNAMICS
1752,1752,surround view camera system,visibility & view,SAFETY
1753,1753,twin turbo petrol,engine / power train,POWERTRAIN / PERFORMANCE
1754,1754,sitting,seats,INTERIOR / COMFORT / ERGONOMICS
1755,1755,regionalism,driving dynamics / handling,HANDLING / DYNAMICS
1756,1756,piano black trim,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
1757,1757,paint,exterior materials & finish,EXTERIOR / STYLING / DESIGN
1758,1758,room inside,passenger space,INTERIOR / COMFORT / ERGONOMICS
1759,1759,adjustable side bolsters,seats,INTERIOR / COMFORT / ERGONOMICS
1760,1760,magic body control camera,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
1761,1761,horses,performance,POWERTRAIN / PERFORMANCE
1762,1762,keyless entry,doors,EXTERIOR / STYLING / DESIGN
1763,1763,style,design,EMOTIONAL / SENSORY / VISUAL
1764,1764,paddles,physical controls,INTERIOR / COMFORT / ERGONOMICS
1765,1765,portal pini k gearbox,transmission,POWERTRAIN / PERFORMANCE
1766,1766,wind,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
1767,1767,door plastics,doors,EXTERIOR / STYLING / DESIGN
1768,1768,vehicle everything else,generic description & miscellaneous,GENERAL INFORMATION
1769,1769,laser lights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
1770,1770,straight driving,drive,POWERTRAIN / PERFORMANCE
1771,1771,interior fit and finish,interior,INTERIOR / COMFORT / ERGONOMICS
1772,1772,information,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
1773,1773,middle section,passenger space,INTERIOR / COMFORT / ERGONOMICS
1774,1774,charges,fuel / energy / charging,POWERTRAIN / PERFORMANCE
1775,1775,top cover,roof,EXTERIOR / STYLING / DESIGN
1776,1776,usb charging ports,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
1777,1777,detail lights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
1778,1778,go to 50,acceleration,POWERTRAIN / PERFORMANCE
1779,1779,side trim,exterior materials & finish,EXTERIOR / STYLING / DESIGN
1780,1780,artificial noise,audio,EMOTIONAL / SENSORY / VISUAL
1781,1781,a one,model / generic car terms,GENERAL INFORMATION
1782,1782,electronic,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
1783,1783,trunks,boot / cargo,FUNCTIONAL / UTILITY FEATURES
1784,1784,backend capacity,rear section,EXTERIOR / STYLING / DESIGN
1785,1785,glovebox,storage & utility,FUNCTIONAL / UTILITY FEATURES
1786,1786,softer suspension,suspension,HANDLING / DYNAMICS
1787,1787,wheel turn,wheels & tyres,HANDLING / DYNAMICS
1788,1788,shoulder room,passenger space,INTERIOR / COMFORT / ERGONOMICS
1789,1789,wing mirror,mirrors,SAFETY
1790,1790,top end,acceleration,POWERTRAIN / PERFORMANCE
1791,1791,hood latches,bonnet,EXTERIOR / STYLING / DESIGN
1792,1792,foot down,acceleration,POWERTRAIN / PERFORMANCE
1793,1793,wider items,storage & utility,FUNCTIONAL / UTILITY FEATURES
1794,1794,selection mode,physical controls,INTERIOR / COMFORT / ERGONOMICS
1795,1795,fit and finish,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
1796,1796,driving system,drive,POWERTRAIN / PERFORMANCE
1797,1797,ends,rear section,EXTERIOR / STYLING / DESIGN
1798,1798,brake field,brake,HANDLING / DYNAMICS
1799,1799,overall length,dimensions & measurements,DISTANCE / MEASUREMENT /  COST
1800,1800,passenger space,passenger space,INTERIOR / COMFORT / ERGONOMICS
1801,1801,wheel options,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
1802,1802,corner braking,brake,HANDLING / DYNAMICS
1803,1803,quattro software,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
1804,1804,dash angle,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
1805,1805,ski hatch,body type,EXTERIOR / STYLING / DESIGN
1806,1806,manual mode drive,transmission,POWERTRAIN / PERFORMANCE
1807,1807,boot lip,exterior materials & finish,EXTERIOR / STYLING / DESIGN
1808,1808,arches,exterior materials & finish,EXTERIOR / STYLING / DESIGN
1809,1809,straps,storage & utility,FUNCTIONAL / UTILITY FEATURES
1810,1810,sexiness,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
1811,1811,ceramic brakes,brake,HANDLING / DYNAMICS
1812,1812,sub menus,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
1813,1813,interior space,passenger space,INTERIOR / COMFORT / ERGONOMICS
1814,1814,drivability,driving dynamics / handling,HANDLING / DYNAMICS
1815,1815,materials quality,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
1816,1816,cervix fittings,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
1817,1817,body shape,body class,EXTERIOR / STYLING / DESIGN
1818,1818,audi virtual cockpit,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
1819,1819,s class driving experience,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
1820,1820,augmented reality satellite navigation system,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
1821,1821,diesel engine,engine / power train,POWERTRAIN / PERFORMANCE
1822,1822,goc 43,model / generic car terms,GENERAL INFORMATION
1823,1823,turbo lag,engine / power train,POWERTRAIN / PERFORMANCE
1824,1824,steering wheel shape,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
1825,1825,dry,road terrain,HANDLING / DYNAMICS
1826,1826,glass elements on gear selector,transmission,POWERTRAIN / PERFORMANCE
1827,1827,rear end,rear section,EXTERIOR / STYLING / DESIGN
1828,1828,going fast on motorway,acceleration,POWERTRAIN / PERFORMANCE
1829,1829,air deflector,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
1830,1830,chassis braces,chassis / structural,STRUCTURAL
1831,1831,speaker,audio,EMOTIONAL / SENSORY / VISUAL
1832,1832,traction control,traction / stability,HANDLING / DYNAMICS
1833,1833,corner lamps,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
1834,1834,cutaways for covers,exterior materials & finish,EXTERIOR / STYLING / DESIGN
1835,1835,rear seats,seats,INTERIOR / COMFORT / ERGONOMICS
1836,1836,safety kit,safety,SAFETY
1837,1837,maneuverability,driving dynamics / handling,HANDLING / DYNAMICS
1838,1838,feel,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
1839,1839,lettering,design,EMOTIONAL / SENSORY / VISUAL
1840,1840,blind spots,safety,SAFETY
1841,1841,changing gears using paddles,transmission,POWERTRAIN / PERFORMANCE
1842,1842,door handles,doors,EXTERIOR / STYLING / DESIGN
1843,1843,power recovery,engine / power train,POWERTRAIN / PERFORMANCE
1844,1844,interior ambience,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
1845,1845,rear diffuser,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
1846,1846,cooling drink,storage & utility,FUNCTIONAL / UTILITY FEATURES
1847,1847,utility,storage & utility,FUNCTIONAL / UTILITY FEATURES
1848,1848,country roads,road terrain,HANDLING / DYNAMICS
1849,1849,gear,transmission,POWERTRAIN / PERFORMANCE
1850,1850,bmw six series gt,model / generic car terms,GENERAL INFORMATION
1851,1851,cabin features,functionality & features,FUNCTIONAL / UTILITY FEATURES
1852,1852,roof up and down,roof,EXTERIOR / STYLING / DESIGN
1853,1853,sight,visibility & view,SAFETY
1854,1854,boot size,boot / cargo,FUNCTIONAL / UTILITY FEATURES
1855,1855,switches,physical controls,INTERIOR / COMFORT / ERGONOMICS
1856,1856,dash design,design,EMOTIONAL / SENSORY / VISUAL
