values,categories,sub_category,main_category,Functional_Group,High_Level_Category,Functional_Group1,High_Level_Category1,base_category
review of car,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,
Go to 50,,,,Other,,Other,,
specifications,,,,Other,,Other,,
long distance,,,,Other,,Other,,
mpg,,,,Other,,Other,,
dead paddle,,,,Transmission,POWERTRAIN_PERFORMANCE,Other,,
delivery,,,,Other,,Other,,Value / Cost
windscreen signature,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Visibility,INTERIOR_SPACE_COMFORT,Displays / Instrumentation
ride,,,,Other,,Other,,
carrying three people in back,,,,Other,,Other,,
upgraded satellite system,,,,Other,,Other,,Navigation / Mapping
automatic engines start stop system,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
aerodynamics,,,,Other,,Handling & Dynamics,,
adjustments,,,,Other,,Other,,
turbulence,,,,Other,,Other,,
mile above sea level,,,,Other,,Other,,
gear change,,,,Other,,Other,,transmission
cruise,,,,Other,,Other,,
door plastics,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Doors
storage nooks,,,,Other,,Storage,INTERIOR_SPACE_COMFORT,boot_cargo
fender flares,,,,Other,,Other,,Wheels & Tyres
RS5,,,,Other,,Other,,Generic Car Terms
back headroom,,,,Passenger Space,INTERIOR_SPACE_COMFORT,Passenger Space,INTERIOR_SPACE_COMFORT,passenger space - back headroom
high speeds,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
steers,,,,Other,,Other,,steering
adult occupant protection in the crash test .,,,,Airbags & Crash Protection,SAFETY_DRIVER_ASSISTANCE,Airbags & Crash Protection,SAFETY_DRIVER_ASSISTANCE,Safety
operation,,,,Other,,Other,,
noise,,,,Other,,Other,,
stop,,,,Other,,Other,,brake
upgraded screen,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
gas struts,,,,Other,,Other,,
satnav system,,,,Navigation,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Navigation / Mapping
accelerating,,,,Other,,Other,,Acceleration
steering wheel,,,,Handling,POWERTRAIN_PERFORMANCE,Wheels & Tires,EXTERIOR_LIGHTING,steering
fragrance,,,,Other,,Other,,
mud,,,,Other,,Other,,Road Terrain
front doors,,,,Other,,Body & Exterior,,Doors
winding mountain roads,,,,Other,,Other,,Road Terrain
steering wheel controls,,,,Handling,POWERTRAIN_PERFORMANCE,Wheels & Tires,EXTERIOR_LIGHTING,steering
lag,,,,Other,,Other,,
exterior color,,,,Other,,Body & Exterior,,
side pillars,,,,Other,,Other,,Visibility & View
seat buttons,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
false floor storage,,,,Other,,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
Quality,,,,Other,,Other,,
sexiness,,,,Other,,Other,,
X drive,,,,Drivetrain,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,
feature set,,,,Other,,Other,,
rear view mirror,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Visibility & View
dynamic mode air suspension,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
wooden effect,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
new look,,,,Other,,Other,,
carrying larger items,,,,Other,,Other,,boot_cargo
engine range,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
slope,,,,Other,,Other,,Road Terrain
climate controls,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Climate / Temperature Control
weight,,,,Other,,Other,,
piloted drive system,,,,Other,,Other,,Driver_Assistance
climate control buttons,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Physical Controls
widescreen ,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
3 50 d price,,,,Other,,Other,,Road Terrain
sub menus,,,,Other,,Other,,Software / Interaction
tight spaces,,,,Other,,Other,,passenger space - tight spaces
reliability,,,,Other,,Other,,Value / Cost
X1,,,,Other,,Other,,
key start,,,,Other,,Other,,
remote gesture control,,,,Other,,Other,,Gesture / Motion Controls
screen,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
tire noise,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
auto-breaking,,,,Other,,Other,,brake
carsick people,,,,Other,,Other,,
Leather,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
drive in narrow streets,,,,Other,,Other,,
back camera,,,,Other,,Miscellaneous Features,,
gearboxes,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
electric motor,,,,Other,,Engine & Performance,,engine/ power train
velocity,,,,Other,,Other,,
store,,,,Other,,Other,,
command system,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,
offer,,,,Other,,Other,,
headrest,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
front motor setup,,,,Other,,Other,,
hook,,,,Other,,Other,,
front brakes,,,,Wheels & Tires,EXTERIOR_LIGHTING,Handling & Dynamics,,brake
front seating,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
steerring wheel,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,steering
S5 sport back torque,,,,Engine,POWERTRAIN_PERFORMANCE,Other,,engine/ power train
bumpy road,,,,Other,,Other,,Road Terrain
aerodynamic,,,,Other,,Handling & Dynamics,,
BMW I A8,,,,Other,,Other,,Generic Car Terms
door mirrors,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Doors
uphill drive,,,,Other,,Other,,Road Terrain
sport mode suspension,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
spokes,,,,Other,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
Extinct traction,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,
fit and finish,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
center screen,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
engine auto cut off,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
bumpers,,,,Other,,Body & Exterior,,Road Terrain
analog dials,,,,Other,,Other,,Displays / Instrumentation
rear lights,,,,Other,,Lighting,EXTERIOR_LIGHTING,lighting
accelerates,,,,Other,,Other,,
roar,,,,Other,,Other,,
cruising ability,,,,Other,,Other,,Driver_Assistance
BMW I three,,,,Other,,Other,,Generic Car Terms
winding roads,,,,Other,,Other,,
BMW three series new,,,,Other,,Other,,Generic Car Terms
speaker sound system,,,,Audio Systems,TECHNOLOGY_INFOTAINMENT,Other,,audio
packs,,,,Other,,Other,,
side vents,,,,Other,,Other,,
wheelbase,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
distance driving,,,,Other,,Other,,
G L A4,,,,Other,,Other,,Generic Car Terms
interior quality,,,,Other,,Other,,
accelerations,,,,Other,,Handling & Dynamics,,Acceleration
roof line,,,,Other,,Body & Exterior,,roof
laser beam headlights,,,,Lighting,EXTERIOR_LIGHTING,Lighting,EXTERIOR_LIGHTING,lighting
emergency assist,,,,Other,,Driver Assistance,TECHNOLOGY_INFOTAINMENT,Safety
sides,,,,Other,,Other,,
carbon emission,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
brand,,,,Other,,Other,,
engine choices,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
pulling power,,,,Other,,Other,,engine/ power train
GT three dry road,,,,Other,,Other,,Road Terrain
low speed manoeuvres,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
new three series,,,,Other,,Other,,
prowess,,,,Other,,Other,,
headlights,,,,Lighting,EXTERIOR_LIGHTING,Lighting,EXTERIOR_LIGHTING,lighting
reversing with assistant,,,,Other,,Other,,
A4 ultra,,,,Other,,Other,,Generic Car Terms
glass elements,,,,Other,,Other,,Windows / Glass
car interaction,,,,Other,,Other,,
engine noise,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
linearity,,,,Other,,Other,,
window surround,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Windows / Glass
trappings,,,,Other,,Other,,
trunk size,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
competition,,,,Other,,Other,,
cutaways for covers,,,,Other,,Other,,
digital drivers display,,Displays & Instrumentation,Technology,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
false floor,,,,Other,,Other,,boot_cargo
piano black trim,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Wheels & Tyres
trunks,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
new engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
E 43 a M G,,,,Other,,Other,,Generic Car Terms
safety features,,,,Other,,Miscellaneous Features,,Safety
trade off,,,,Other,,Other,,
designed,,,,Other,,Other,,
s line indicators,,,,Other,,Other,,
laser headlights,,,,Lighting,EXTERIOR_LIGHTING,Lighting,EXTERIOR_LIGHTING,lighting
ceramic brakes,,,,Wheels & Tires,EXTERIOR_LIGHTING,Handling & Dynamics,,brake
unload,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
luxury,,,,Other,,Other,,
turning radius,,,,Other,,Other,,Cornering / Grip
carbon ceramics,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
chairs,,,,Other,,Other,,
front suspension,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
M5 designation within tachometer,,,,Other,,Other,,Generic Car Terms
scuff plates,,,,Other,,Other,,
spaces,,,,Other,,Other,,passenger space - spaces
interface,,,,Other,,Infotainment & Display,,
curves,,,,Other,,Other,,
turbo lag,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,
seating tunnel,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
fuel efficient,,,,Other,,Other,,Fuel / Energy / Charging
offroad grip,,,,Other,,Other,,Road Terrain
does everything,,,,Other,,Other,,
people over six foot,,,,Other,,Other,,
dials,,,,Other,,Other,,
steering at speed,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,steering
1.5 L engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
moon roof shade,,,,Other,,Body & Exterior,,roof
Quattro system petrol,,,,Engine,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,Fuel / Energy / Charging
storage tray,,,,Storage,INTERIOR_SPACE_COMFORT,Storage,INTERIOR_SPACE_COMFORT,boot_cargo
Mercedes GLC,,,,Other,,Other,,Generic Car Terms
tail lights,,,,Other,,Other,,lighting
motorways,,,,Other,,Other,,Road Terrain
back style,,,,Other,,Other,,
rear end,,,,Other,,Other,,
metal area,,,,Other,,Other,,
small,,,,Other,,Other,,
child seat base,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
front engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
gauge display,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
engine automatic switch off,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
seat up,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
A5 seats,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
beeping,,,,Other,,Other,,
backpacks,,,,Other,,Other,,boot_cargo
accelerate,,,,Other,,Other,,
wheel designs,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
handling limit,,,,Other,,Handling & Dynamics,,
headroom (people over six foot),,,,Passenger Space,INTERIOR_SPACE_COMFORT,Passenger Space,INTERIOR_SPACE_COMFORT,passenger space - headroom (people over six foot)
set buttons,,,,Other,,Other,,Physical Controls
weight loss,,,,Other,,Other,,
Mercedes-Benz GCL,,,,Other,,Other,,Generic Car Terms
get in back,,,,Other,,Other,,Doors
boot spoiler,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
steer,,,,Other,,Other,,steering
quattro software,,,,Drivetrain,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,Software / Interaction
engineered,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
van lock,,,,Other,,Other,,
second generation,,,,Other,,Other,,
fake sound,,,,Other,,Other,,
junctions in efficiency mode,,,,Other,,Other,,Fuel / Energy / Charging
Volvo XC60 room,,,,Other,,Other,,Generic Car Terms
release button for center console,,,,Other,,Miscellaneous Features,,Physical Controls
sport mode shift,,,,Suspension,POWERTRAIN_PERFORMANCE,Other,,
soft pillow,,,,Other,,Comfort Features,INTERIOR_SPACE_COMFORT,seats
beam,,,,Other,,Other,,
tire pressure monitoring,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
engine output,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
price tag,,,,Other,,Other,,Road Terrain
glove box latch,,,,Other,,Other,,boot_cargo
vents,,,,Other,,Other,,
daily traffic,,,,Other,,Other,,
sport back,,,,Other,,Other,,
BMW X1,,,,Other,,Other,,Generic Car Terms
exhaust systems,,,,Other,,Other,,
bonnet opening,,,,Other,,Body & Exterior,,
set up,,,,Other,,Other,,
two keys,,,,Other,,Other,,
patterns,,,,Other,,Other,,
compartmentalize stuff,,,,Storage,INTERIOR_SPACE_COMFORT,Storage,INTERIOR_SPACE_COMFORT,Storage & Utility
automatic gear,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
high load floor,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
top,,,,Other,,Other,,
model,,,,Other,,Other,,
braking,,,,Other,,Other,,brake
iceberg covers,,,,Other,,Other,,Road Terrain
lower speed,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
middle chair,,,,Other,,Other,,
seat shape,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
view changes,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Visibility & View
handle,,,,Other,,Other,,
warning sound,,,,Other,,Miscellaneous Features,,Safety
construction,,,,Other,,Other,,
diesel engines,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
cruise control,,,,Other,,Other,,Driver_Assistance
lobe,,,,Other,,Other,,
selector,,,,Other,,Other,,Physical Controls
comfort level,,,,Other,,Other,,
seats,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
throttle (sport),,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
boot space,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
cameras,,,,Other,,Miscellaneous Features,,
gauge setup,,,,Other,,Other,,Displays / Instrumentation
e class,,,,Other,,Other,,
comforts,,,,Other,,Other,,
offroadinfg,,,,Other,,Other,,Road Terrain
Quattro,,,,Drivetrain,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,
efficiency,,,,Other,,Other,,
driving system,,,,Other,,Other,,
metal roof,,,,Other,,Body & Exterior,,roof
bump,,,,Other,,Other,,Road Terrain
pulls,,,,Other,,Other,,
towing,,,,Other,,Other,,
1.6 litre petrol engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
cabriole price entry point,,,,Body Style,EXTERIOR_LIGHTING,Body & Exterior,,Road Terrain
panels,,,,Other,,Other,,
seating,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
tail,,,,Other,,Other,,
interior leather,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
Magic sky Control,,,,Other,,Other,,roof
air density,,,,Other,,Other,,Climate / Temperature Control
turns in,,,,Other,,Other,,Cornering / Grip
windows down,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Windows / Glass
key less entry,,,,Other,,Other,,
acceleration noise,,,,Other,,Handling & Dynamics,,Acceleration
sporty suspension,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
view forward,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Visibility & View
shift changes,,,,Other,,Other,,
wheel options,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Software / Interaction
whole package,,,,Other,,Other,,
gesture controls,,,,Other,,Other,,Gesture / Motion Controls
roof down,,,,Other,,Body & Exterior,,roof
front practicality,,,,Other,,Other,,Storage & Utility
stance,,,,Other,,Other,,
gas cap,,,,Other,,Other,,
feedback,,,,Other,,Other,,
exhaust sound,,,,Other,,Other,,audio
upgraded command system screen,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
door trim,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Wheels & Tyres
interface operation,,,,Other,,Infotainment & Display,,
gear selection,,,,Other,,Other,,transmission
speaker,,,,Other,,Other,,audio
travel,,,,Other,,Other,,
horns,,,,Other,,Other,,
noises,,,,Other,,Other,,
putting gear,,,,Other,,Other,,transmission
sensation,,,,Other,,Other,,
cutout design,,,,Other,,Other,,
process,,,,Other,,Other,,
starting price,,,,Other,,Other,,Road Terrain
steering feel,,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
prestige trim level,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Wheels & Tyres
X drive system,,,,Drivetrain,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,
backseats,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
wood ledge,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,lighting
blowers,,,,Other,,Other,,
boot shape,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
automatic mode,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,
stop start system,,,,Other,,Other,,brake
general layout,,,,Other,,Other,,
turn,,,,Other,,Other,,
ehaust pipe,,,,Other,,Other,,
roof,,,,Other,,Body & Exterior,,roof
well being spoiled recreation thing,,,,Lighting,EXTERIOR_LIGHTING,Lighting,EXTERIOR_LIGHTING,lighting
sport pack,,,,Other,,Other,,
corner acceleration,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
A3 gravitas,,,,Other,,Other,,Generic Car Terms
twin turbo petrol,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
agility,,,,Other,,Other,,
spoiler button,,,,Other,,Body & Exterior,,Physical Controls
price point,,,,Other,,Other,,Road Terrain
nameplate,,,,Other,,Other,,
technology pack cost,,,,Other,,Other,,Software / Interaction
display,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
material selection,,,,Other,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Physical Controls
amber lighting,,,,Other,,Lighting,EXTERIOR_LIGHTING,lighting
fifth portion,,,,Other,,Other,,
phone Cradle,,,,Other,,Other,,Connectivity / Integration
on road,,,,Other,,Other,,
definition,,,,Other,,Other,,
right hand drive steering,,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
braking field,,,,Other,,Other,,brake
engine note,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
architecture platform,,,,Other,,Other,,
rough terrain,,,,Other,,Other,,Road Terrain
digital gauge cluster,,Displays & Instrumentation,Technology,Other,,Infotainment & Display,,Displays / Instrumentation
BMW six Series GT,,,,Other,,Other,,Generic Car Terms
nap screen,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
rev limit,,,,Other,,Other,,engine/ power train
digital climate control,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Climate / Temperature Control
sun roof,,,,Other,,Body & Exterior,,roof
performance Power,,,,Other,,Other,,engine/ power train
character,,,,Other,,Other,,
exterior,,,,Other,,Body & Exterior,,
MMI interface,,Displays & Instrumentation,Technology,Other,,Infotainment & Display,,Displays / Instrumentation
soft touch plastics,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Gesture / Motion Controls
models,,,,Other,,Other,,
under the car,,,,Other,,Other,,
diesel engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
seven speed gear box,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,transmission
swivel controller,,,,Other,,Other,,Physical Controls
efficiency system,,,,Other,,Other,,
paint,,,,Other,,Body & Exterior,,
miles per gallon,,,,Other,,Other,,
engineering,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
Apple Carplay price,,,,Connectivity,TECHNOLOGY_INFOTAINMENT,Connectivity,TECHNOLOGY_INFOTAINMENT,Connectivity / Integration
progress,,,,Other,,Other,,
front wheel drive version,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
foot down (acceleration),,,,Other,,Handling & Dynamics,,Acceleration
height from ground,,,,Other,,Other,,
dash,,,,Other,,Miscellaneous Features,,Displays / Instrumentation
steering wheel mounted controls,,,,Handling,POWERTRAIN_PERFORMANCE,Wheels & Tires,EXTERIOR_LIGHTING,steering
carrying large items,,,,Other,,Other,,
charging panel,,,,Other,,Connectivity,TECHNOLOGY_INFOTAINMENT,Fuel / Energy / Charging
compartment,,,,Storage,INTERIOR_SPACE_COMFORT,Storage,INTERIOR_SPACE_COMFORT,Storage & Utility
panoramic sunroof,,,,Other,,Body & Exterior,,roof
A8 series,,,,Other,,Other,,
rear doors,,,,Other,,Body & Exterior,,Doors
two in the back,,,,Other,,Other,,
right hand drive steering wheel,,,,Handling,POWERTRAIN_PERFORMANCE,Wheels & Tires,EXTERIOR_LIGHTING,steering
Eco pro,,,,Other,,Other,,
gated shifter,,,,Other,,Other,,transmission
automatic numbers,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,
digital gauge,,,,Other,,Other,,Displays / Instrumentation
manual gearbox,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
twin turbo petrol torque,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
someone over six foot,,,,Other,,Other,,
petrol tank,,,,Engine,POWERTRAIN_PERFORMANCE,Other,,Fuel / Energy / Charging
cabriole,,,,Body Style,EXTERIOR_LIGHTING,Body & Exterior,,
electronics,,,,Other,,Other,,
2.1 litre diesel engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
seven series,,,,Other,,Other,,
map lights,,,,Other,,Other,,lighting
parking assist,,,,Driver Assistance,TECHNOLOGY_INFOTAINMENT,Driver Assistance,TECHNOLOGY_INFOTAINMENT,Parking
Audi Q3,,,,Other,,Other,,Generic Car Terms
bulbs,,,,Other,,Other,,
base,,,,Other,,Other,,
E brake,,,,Brakes,SAFETY_DRIVER_ASSISTANCE,Handling & Dynamics,,brake
planted call features,,,,Other,,Other,,
glove box space,,,,Other,,Storage,INTERIOR_SPACE_COMFORT,boot_cargo
A8 reversing,,,,Other,,Other,,
Quattro system,,,,Drivetrain,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,
years,,,,Other,,Other,,
interior color choices,,,,Other,,Body & Exterior,,Road Terrain
purchase,,,,Other,,Other,,Value / Cost
get snow off the car,,,,Other,,Other,,Road Terrain
seating flexibility,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
deck lid,,,,Other,,Other,,
tire change pot,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
new platforms,,,,Other,,Other,,
sailing mode,,,,Other,,Other,,
cylinder,,,,Other,,Other,,
v8 engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
power train,,,,Other,,Other,,engine/ power train
loading heavy cargo,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
value,,,,Other,,Other,,
Apple carplay,,,,Connectivity,TECHNOLOGY_INFOTAINMENT,Connectivity,TECHNOLOGY_INFOTAINMENT,Connectivity / Integration
damper suspension,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
bonnet,,,,Other,,Body & Exterior,,
rear balance,,,,Other,,Handling & Dynamics,,
Porsche 911,,,,Other,,Other,,
couch,,,,Other,,Other,,
corner handlig,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Cornering / Grip
interior color,,,,Other,,Body & Exterior,,
A4  G5 steering,,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
navigating menus,,,,Other,,Other,,Software / Interaction
interiors,,,,Other,,Other,,
striping,,,,Other,,Other,,
C pillar,,,,Other,,Other,,Visibility & View
cell,,,,Other,,Other,,
petrol charging,,,,Engine,POWERTRAIN_PERFORMANCE,Other,,Fuel / Energy / Charging
C E400,,,,Other,,Other,,
offroad height raise,,,,Other,,Other,,Road Terrain
door design,,,,Other,,Body & Exterior,,Doors
first impression,,,,Other,,Other,,
boot floor,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
Vita Engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
