,aspect,base_category
2030,electric lumbar support,seats
2031,mercedes-benz star,model / generic car terms
2032,mercedes glc,model / generic car terms
2033,a8 series,model / generic car terms
2034,area,
2035,windshield,aerodynamics / airflow
2036,efficiency mode,fuel / energy / charging
2037,exhaust pipes,exhaust
2038,foot wells,passenger space
2039,gle 350,model / generic car terms
2040,tail,
2041,midnight edition,packages / trims / variants
2042,tethering point,connectivity / integration
2043,prestige trim level,Design
2044,shift button,model / generic car terms
2045,apple carplay,connectivity / integration
2046,sports mode sound,audio
2047,body,body class
2048,exhausts pipes,exhaust
2049,piloted drive system,drive
2050,capacity,climate / temperature control
2051,boot liner,boot/cargo
2052,horsepower,engine/ power train
2053,normal driving,drive
2054,rear space,climate / temperature control
2055,servicing,value / cost
2056,buying,value / cost
2057,handling package,Driving Dynamics / Handling
2058,four zone climate control,climate / temperature control
2059,road noise levels,audio
2060,twin turbo petrol horsepower,engine/ power train
2061,big boy twin turbo,engine/ power train
2062,head space,climate / temperature control
2063,front seat control,seats
2064,s line suspension,suspension
2065,portia 7 18,model / generic car terms
2066,slow speed,model / generic car terms
2067,delivery,value / cost
2068,bumps dynamic mode,road terrain
2069,tie down tethers,boot/cargo
2070,backseat headroom,climate / temperature control
2071,boots,boot/cargo
2072,infotainment system knob,physical controls
2073,a piece of plastic,exterior materials & finish
2074,lighting functions,Functionality & Features
2075,product,Functional Features
2076,motor noise,engine/ power train
2077,braking field,brake
2078,power surge,engine/ power train
2079,front engine,engine / power train
2080,x3 suspension,suspension
2081,rides,drive
2082,usefulness,Functionality & Features
2083,cubby,storage & utility
2084,number keypad,physical controls
2085,3 series,model / generic car terms
2086,emergency assist,safety
2087,body style,body class
2088,high pressure oil system,engine / power train
2089,bmw 6 50,model / generic car terms
2090,size,dimensions & measurements
2091,gas cap,fuel / energy / charging
2092,e 63,model / generic car terms
2093,miles per gallon,Distance / Efficiency / Mileage
2094,lag,
2095,upgraded command system definition,software / interaction
2096,apple carplay price,connectivity / integration
2097,shift,transmission
2098,speed limiter,acceleration
2099,cell phone spot,connectivity / integration
2100,ico pro mode,fuel / energy / charging
2101,ambient lighting package,climate / temperature control
2102,top down air,roof
2103,bmw s4,model / generic car terms
2104,f40 5 a.m. g suspension,model / generic car terms
2105,gt three operating window,model / generic car terms
2106,gesture commands,gesture / motion controls
2107,towing,
2108,electronically controlled dampers,lighting
2109,outside wheels,wheels & tyres
2110,leather seats,seats
2111,performers,performance
2112,sound proofing,roof
2113,drive version,drive
2114,clicking sound,audio
2115,rear quarter lights,lighting
2116,push,
2117,roar,audio
2118,start stop feature,Functionality & Features
2119,rear differential,traction / stability
2120,steering adjustment,Comfort & Ergonomics
2121,alcantara,interior materials & trim / finish
2122,door handle inserts,doors
2123,tailgated,boot/cargo
2124,suspension redesign,Design
2125,spoiler button,fuel / energy / charging
2126,car racing technology increments,Performance
2127,fidget,
2128,acceleration in efficiency mode,climate / temperature control
2129,balance point,traction / stability
2130,back frame,build quality / construction
2131,oversteer,steering
2132,back pillars,chassis / structural
2133,headlamps,lighting
2134,weight ratio,weight
2135,automatic canister,Fuel / Energy / Charging
2136,nine speed automatic transmission,transmission
2137,front seat,seats
2138,rivals,
2139,snow and ice,road terrain
2140,under floor storage,storage & utility
2141,high speeds,acceleration
2142,newest s class,model / generic car terms
2143,front motor,engine/ power train
2144,front passenger seat fittings,model / generic car terms
2145,touring,
2146,sunroof,roof
2147,slope,model / generic car terms
2148,off roading,road terrain
2149,talking price,road terrain
2150,rpm,engine/ power train
2151,standard screen,displays / instrumentation
2152,suv,body type
2153,door opening,doors
2154,lack of cabin noise,climate / temperature control
2155,long drives,drive
2156,engineered,engine / power train
2157,seat buttons,model / generic car terms
2158,aero bits,aerodynamics / airflow
2159,upward visibility,visibility & view
2160,turbo power,engine/ power train
2161,battery location,model / generic car terms
2162,three litre diesel engine,engine / power train
2163,satnav system,navigation / mapping
2164,gas struts,
2165,parking sensors,parking
2166,height from ground,dimensions & measurements
2167,pulling power,engine/ power train
2168,normal mode sound,audio
2169,downshift,transmission
2170,quattro system,model / generic car terms
2171,exterior design,exterior materials & finish
2172,pillars,chassis / structural
2173,color,Design
2174,ride,drive
2175,automatic tailgate,boot/cargo
2176,spoiler,fuel / energy / charging
2177,under storage,storage & utility
2178,sports mode gearbox,transmission
2179,hard corners,cornering
2180,drive everyday,drive
2181,passenger seat,seats
2182,start up,engine / power train
2183,middle,
2184,offroad grip,cornering / grip
2185,driving position,drive
2186,blow,
2187,gt,model / generic car terms
2188,offroad,road terrain
2189,sports steering,steering
2190,speeds,acceleration
2191,green color,Design
2192,wind whistle,audio
2193,technology pack processor,Technology
2194,dashes,displays / instrumentation
2195,parking system,parking
2196,front trunk,boot/cargo
2197,acceleration,climate / temperature control
2198,auto emergency braking,brake
2199,driving through central london,drive
2200,exhaust system,exhaust
2201,middle seat headroom,seats
2202,rear seat legroom,seats
2203,remote key operations,driver assistance
2204,back door,climate / temperature control
2205,downforce,aerodynamics / airflow
2206,practical,Functionality & Features
2207,audio inputs,model / generic car terms
2208,screen for air conditioning,displays / instrumentation
2209,detail,design
2210,accents,Design
2211,floor,
2212,twin turbo petrol torque,engine/ power train
2213,carbon footprint,model / generic car terms
2214,privacy glass,climate / temperature control
2215,headlights,lighting
2216,m5,model / generic car terms
2217,dr selector,physical controls
2218,body structure,body class
2219,middle seat,seats
2220,passenger in the back,climate / temperature control
2221,motor,engine/ power train
2222,a3,model / generic car terms
2223,control over driving,drive
2224,spring rate,suspension
2225,camera mirrors,mirrors
2226,center arm rest,seats
2227,quattro ultra system,model / generic car terms
2228,gear selection,transmission
2229,extend front part seat,seats
2230,side finish,interior materials & trim / finish
2231,boot door,boot/cargo
2232,bolsters on steering,steering
2233,comforts,Comfort & Ergonomics
2234,acceleration,climate / temperature control
2235,s3,model / generic car terms
2236,drive feel,Emotional & Sensory Experience
2237,drive modes,drive
2238,hybrid technology,Fuel / Energy / Charging
2239,passenger,passenger space
2240,super sideways,body class
2241,riding,
2242,parcel shelf,storage & utility
2243,security,safety
2244,rearward facing child seats,climate / temperature control
2245,offroading traction control,climate / temperature control
2246,power,engine/ power train
2247,reading lights,lighting
2248,radio system,audio
2249,google earth,navigation / mapping
2250,door bin front,storage & utility
2251,plastics,exterior materials & finish
2252,c pillar,chassis / structural
2253,air intake gt-r,model / generic car terms
2254,front seat set,seats
2255,folds in back seat,climate / temperature control
2256,springs,suspension
2257,phone cradle,connectivity / integration
2258,priced,road terrain
2259,comfort suspension,Comfort & Ergonomics
2260,navigation,navigation / mapping
2261,netted areas,model / generic car terms
2262,carbon fibre,exterior materials & finish
2263,track driving,climate / temperature control
2264,body control,body class
2265,switch between screens,displays / instrumentation
2266,front,front section
2267,tight spaces,climate / temperature control
2268,tied down points,boot/cargo
2269,twisty road,road terrain
2270,upgraded command system screen,displays / instrumentation
2271,a5,model / generic car terms
2272,simplicity,Comfort & Ergonomics
2273,front quarters,passenger space
2274,folding mirrors,mirrors
2275,safety technology,Technology
2276,carrying three in back,climate / temperature control
2277,miles an hour,Distance / Efficiency / Mileage
2278,adaptive suspension comfort mode,Driving Dynamics / Handling
2279,rear passengers,passenger space
2280,deck lid,bonnet
2281,writing pad,storage & utility
2282,bmw m3,model / generic car terms
2283,door tops,doors
2284,undulations of the road,road terrain
2285,hunches,
2286,seating flexibility,seats
2287,a6 500e f40,model / generic car terms
2288,knee rooms,passenger space
2289,spare wheel,wheels & tyres
2290,three action,climate / temperature control
2291,traffic,road terrain
2292,range,Fuel / Energy / Charging
2293,throb,audio
2294,corner handle,cornering
2295,cable,connectivity / integration
2296,two litre tf excitable petrol,fuel / energy / charging
2297,back style,Design
2298,going reverse,
2299,no underfloor storage,storage & utility
2300,carrying three,model / generic car terms
2301,philosophy,Emotional & Sensory Experience
2302,entertainment system,software / interaction
2303,a6 back,model / generic car terms
2304,power distribution,engine/ power train
2305,recline,seats
2306,legs,
2307,carrying three abreast,passenger space
2308,optional backup camera,climate / temperature control
2309,parallel parking,parking
2310,s90,model / generic car terms
2311,audi q7,model / generic car terms
2312,overall look,Design
2313,optional led 19 system,lighting
2314,hook,Comfort & Ergonomics
2315,dynamic engine,engine / power train
2316,leg side bolsters,seats
2317,dashboard,displays / instrumentation
2318,touch pad swivel world system,software / interaction
2319,assist,driver assistance
2320,extendable seat base,seats
2321,tire rim,wheels & tyres
2322,battery management system,model / generic car terms
2323,interior overall,interior
2324,diesel model fuel tank,fuel / energy / charging
2325,servicing plan,value / cost
2326,unfamiliar back roads,climate / temperature control
2327,gap in the back,climate / temperature control
2328,turbo petrol engine,engine / power train
2329,a 35,model / generic car terms
2330,parking center switch,parking
2331,grip,cornering / grip
2332,blade panel,exterior materials & finish
2333,mastering the system,software / interaction
2334,0 to 60 time,acceleration
2335,silhouette,Design
2336,switches and dials,displays / instrumentation
2337,maximum cargo space,climate / temperature control
2338,van,body type
2339,steering wheel adjustment,Comfort & Ergonomics
2340,phone box,boot/cargo
2341,entry level petrol engine,engine / power train
2342,rear bumper,road terrain
2343,quality,build quality / construction
2344,drive,drive
2345,e class,model / generic car terms
2346,back digital climate control,climate / temperature control
2347,rail,
2348,straight line,road terrain
2349,display screen,displays / instrumentation
2350,system,software / interaction
2351,beam,
2352,seat backs,climate / temperature control
2353,handbrake,brake
2354,counter,
2355,sport steering,steering
2356,mercedes-benz e class,model / generic car terms
2357,minivan,body type
2358,center screen,displays / instrumentation
2359,gear change sound,transmission
2360,performance exhaust,exhaust
2361,children,
2362,key less entry,doors
2363,steering ratio ride,steering
2364,instrument cluster,displays / instrumentation
2365,sports suspension,suspension
2366,tire noise,audio
2367,shifts,transmission
2368,corner balance,traction / stability
2369,comfort ico plus,Comfort & Ergonomics
2370,child seat,seats
2371,sit,seats
2372,side wall,side section
2373,pillar for leaning on window,chassis / structural
2374,power delivery,engine/ power train
2375,performance level,performance
2376,stops,brake
2377,back light bar,climate / temperature control
2378,engine output,engine / power train
2379,front seats,seats
2380,gap,
2381,e400 twin turbo v six power,engine/ power train
2382,composure,Driving Dynamics / Handling
2383,electrical system,software / interaction
2384,dynamism,Driving Dynamics / Handling
2385,anti-roll bars,traction / stability
2386,8 siris,voice & commands
2387,right hand drive steering,steering
2388,car storage,storage & utility
2389,central screen,displays / instrumentation
2390,rain sensing windshield wiper,aerodynamics / airflow
2391,design ethos,Design
2392,front climbing and back,climate / temperature control
2393,manual gearbox,transmission
2394,event,aerodynamics / airflow
2395,construction,build quality / construction
2396,electronic stability off,traction / stability
2397,tail lights,lighting
2398,panoramic moon,
2399,finishing,interior materials & trim / finish
2400,ionic range,Fuel / Energy / Charging
2401,foot walls,
2402,seat up,seats
2403,mpg sports mode,Driving Dynamics / Handling
2404,packs,climate / temperature control
2405,spec,
2406,hatchback,body type
2407,persona,design
2408,sun visor,windscreen / wipers
2409,public charges,fuel / energy / charging
2410,especially back,climate / temperature control
2411,centre of gravity,weight
2412,gearshift,transmission
2413,chairs,seats
2414,camera angle,cameras
2415,pockets in backseat,climate / temperature control
2416,f40 5 a.m. g brakes,model / generic car terms
2417,normal screen,displays / instrumentation
2418,performance power,engine/ power train
2419,weight distribution,weight
2420,manual mode,transmission
2421,back wheel,climate / temperature control
2422,rear seat roadster,seats
2423,hybrid model,fuel / energy / charging
2424,back side seats,climate / temperature control
2425,car seat,seats
2426,new three series,model / generic car terms
2427,2.5 litre petrol engine,engine / power train
2428,battery upgrade,model / generic car terms
2429,dry road,road terrain
2430,setup,
2431,a4 quatro,model / generic car terms
2432,auto driving,drive
2433,economy,
2434,legroom,passenger space
2435,load lifter,boot/cargo
2436,audi a5,model / generic car terms
2437,new sl,model / generic car terms
2438,base,
2439,back head room,climate / temperature control
2440,interior sophistication,interior
2441,auto mode,Driving Dynamics / Handling
2442,side,side section
2443,sporting events,Functionality & Features
2444,upgraded professional satnav,navigation / mapping
2445,mercedes e class coupe a,body type
2446,format,
2447,back seat elongated bracket,climate / temperature control
2448,lifespan,value / cost
2449,design,Design
2450,upgraded satellite system,navigation / mapping
2451,s class,model / generic car terms
2452,lines,design
2453,black stitching,climate / temperature control
2454,second generation,model / generic car terms
2455,transmission tunnel,transmission
2456,menu,software / interaction
2457,electronics,
2458,sounds,audio
2459,magic vision control,visibility & view
2460,automatic gearbox,transmission
2461,dynamic sport mode,Driving Dynamics / Handling
2462,drive in narrow streets,drive
2463,a5 sport back,body type
2464,front toe handle,
2465,s three price,road terrain
2466,pillar,chassis / structural
2467,newest s class price,model / generic car terms
2468,standard kit,options & specifications
2469,set up,
2470,climate control knobs,climate / temperature control
2471,wood grain,interior materials & trim / finish
2472,memory settings,model / generic car terms
2473,bay,
2474,powerful,engine/ power train
2475,rapid charging,fuel / energy / charging
2476,store,storage & utility
2477,android auto,connectivity / integration
2478,advisors,
2479,green screen,displays / instrumentation
2480,manual mode transmission,transmission
2481,purchase,value / cost
2482,insurance price,road terrain
2483,socket,connectivity / integration
2484,roof line,roof
2485,automatic braking,brake
2486,numbers,
2487,carrying larger items,boot/cargo
2488,stick shift,transmission
2489,graphics card,model / generic car terms
2490,bottom,model / generic car terms
2491,driving mode,drive
2492,button placement,model / generic car terms
2493,tailpipes,exhaust
2494,power dependability,engine/ power train
2495,bmw entertainment system,model / generic car terms
2496,headlining,
2497,sound system,audio
2498,footprint,
2499,performance drivability,Driving Dynamics / Handling
2500,ambient lighting,lighting
2501,current style,Design
2502,corner acceleration,climate / temperature control
2503,step up,
2504,deck,bonnet
2505,f 30,model / generic car terms
2506,automatic emergency breaking,brake
2507,supportive gas struts,seats
2508,seat pulling back,climate / temperature control
2509,shelf,storage & utility
2510,led lighting,lighting
2511,leg room,passenger space
2512,rs3,model / generic car terms
2513,engine,engine / power train
2514,wireless charging,connectivity / integration
2515,winding mountain roads,road terrain
2516,getting stuff in and out,model / generic car terms
2517,digital drivers display,drive
2518,petrol usage,fuel / energy / charging
2519,linearity,
2520,precision,Driving Dynamics / Handling
2521,s8,model / generic car terms
2522,lower dash plastic,displays / instrumentation
2523,lock,keys & lock
2524,digital climate control,climate / temperature control
2525,body roll,body class
2526,underfloor storage,storage & utility
2527,gear stuff,transmission
2528,cars,model / generic car terms
2529,power plant,engine/ power train
2530,grips,cornering / grip
2531,petrol,fuel / energy / charging
2532,view out,visibility & view
2533,silver screen,displays / instrumentation
2534,door close,doors
2535,braking,brake
2536,launch control function,acceleration
2537,small bump,road terrain
2538,x two,
2539,experience in town (drive),drive
2540,cruise control system,driver assistance
2541,seat belt,seats
2542,map lights,lighting
2543,quattro drive system,model / generic car terms
2544,shapes around instrument,Design
2545,amber lighting,lighting
2546,backup camera,climate / temperature control
2547,coat hooks,Comfort & Ergonomics
2548,front practicality,Functionality & Features
2549,traffic data,navigation / mapping
2550,analog dials,displays / instrumentation
2551,two keys,keys & lock
2552,x drive system,drive
2553,rear view mirror,visibility & view
2554,one plastic,exterior materials & finish
2555,cupholders,storage & utility
2556,pedal configuration,brake
2557,traction control system,climate / temperature control
2558,sports mode,Driving Dynamics / Handling
2559,back seats,climate / temperature control
2560,g wagon,body type
2561,steering resistance,steering
2562,functions,Functionality & Features
2563,cold weather,road terrain
2564,modular system,software / interaction
2565,interior upgrades,interior
2566,mmi interface,climate / temperature control
2567,steering comfort mode,Comfort & Ergonomics
2568,ledge,lighting
2569,bumpy road,road terrain
2570,mountain road,road terrain
2571,speed shift transmission,transmission
2572,media centre,displays / instrumentation
2573,pricier versions,value / cost
2574,fold down seats,seats
2575,optional heads up displays,displays / instrumentation
2576,map,navigation / mapping
2577,trim pieces,Design
2578,two axle air suspension,suspension
2579,carbon ceramic discs,brake
2580,driving in town,drive
2581,upshifts,transmission
2582,v8,engine/ power train
2583,headrest,seats
2584,selector,physical controls
2585,low speed manoeuvres,acceleration
2586,dry condition,road terrain
2587,interior noise,interior
2588,a3 gravitas,model / generic car terms
2589,s8,model / generic car terms
2590,digital instruments,displays / instrumentation
2591,town traffic,road terrain
2592,outward visibility,visibility & view
2593,remote driving,drive
2594,safety,safety
2595,review,visibility & view
2596,turning circle,cornering
2597,first impression,emotional & sensory experience
2598,front drive shafts,drive
2599,sharp turn,cornering
2600,long in the car,Comfort & Ergonomics
2601,feedback,climate / temperature control
2602,back windows,climate / temperature control
2603,momentum99 fuel,fuel / energy / charging
2604,mercedes sl,model / generic car terms
2605,door mirrors,mirrors
2606,large,
2607,driving dynamics,Driving Dynamics / Handling
2608,driver display panel,drive
2609,back space,climate / temperature control
2610,a4  g5 steering,steering
2611,swerve control,traction / stability
2612,rear pillars,chassis / structural
2613,ambience,Emotional & Sensory Experience
2614,interiors,interior
2615,automatic transmission,transmission
2616,camber dirt road,road terrain
2617,digital display,displays / instrumentation
2618,panel,
2619,reversing assistant tech,Technology
2620,damper control,suspension
2621,second row seat,seats
2622,build quality,build quality / construction
2623,a4  g5,
2624,bmw drivers,model / generic car terms
2625,rear parking sensors,parking
2626,handle,
2627,standard frame,build quality / construction
2628,third row,passenger space
2629,nap screen,displays / instrumentation
2630,baby seats,seats
2631,boosting,engine / power train
2632,foot down (acceleration),climate / temperature control
2633,voice commands,voice & commands
2634,distracted driving,climate / temperature control
2635,bmw air intake,model / generic car terms
2636,screens,displays / instrumentation
2637,head rest,seats
2638,porsche 911,model / generic car terms
2639,places in the front,climate / temperature control
2640,kilometres,Distance / Efficiency / Mileage
2641,hubs,wheels & tyres
2642,engine start stop system,engine / power train
2643,indicator lights,lighting
2644,cameras,cameras
2645,weight,weight
2646,audi interface,model / generic car terms
2647,rear,rear section
2648,steering wheel button,steering
2649,price point,road terrain
2650,top speed,acceleration
2651,change mode controls,Driving Dynamics / Handling
2652,roof,roof
2653,pickup,
2654,air 18,aerodynamics / airflow
2655,revs,engine/ power train
2656,round town,road terrain
2657,drive itself,drive
2658,roof up,roof
2659,window ledge,lighting
2660,all controls,physical controls
2661,headroom,passenger space
2662,entertainment screen passenger view,visibility & view
2663,parking,parking
2664,feet adjustment,Comfort & Ergonomics
2665,drive position,drive
2666,colors,Design
2667,aerodynamic,aerodynamics / airflow
2668,ports,connectivity / integration
2669,volume control,audio
2670,engine response,engine / power train
2671,manoeuvre,steering
2672,summer tires,wheels & tyres
2673,porsche gearbox,transmission
2674,gauges,displays / instrumentation
2675,doors open,doors
2676,comfort package,Comfort & Ergonomics
2677,magnetic ride,drive
2678,counter drive,drive
2679,keys,keys & lock
2680,tech,Technology
2681,front wheel,wheels & tyres
2682,pumps sound,audio
2683,auto-breaking,brake
2684,works,Functionality & Features
2685,air,aerodynamics / airflow
2686,no rapid charging,fuel / energy / charging
2687,grips in the corners,cornering / grip
2688,brakes,brake
2689,steering rod,steering
2690,adaptive steering,steering
2691,soundtrack,climate / temperature control
2692,executive tier,packages / trims / variants
2693,tire change pot,wheels & tyres
2694,front wheel drive version,drive
2695,magic sky control,roof
2696,audi a3,model / generic car terms
2697,rs lineage,model / generic car terms
2698,dual clutch,transmission
2699,agility,Driving Dynamics / Handling
2700,headroom backseat,climate / temperature control
2701,offroader,road terrain
2702,roundabout,cornering
2703,gear selector knob,transmission
2704,parcel shelf,storage & utility
2705,driver involvement,drive
2706,flipping down the second row seats,aerodynamics / airflow
2707,van lock,keys & lock
2708,automatic engine start stop system,engine / power train
2709,massage programs,Comfort & Ergonomics
2710,cabinets,storage & utility
2711,camera,cameras
2712,ride quality,drive
2713,wheelbase,chassis / structural
2714,key,keys & lock
2715,practicalities,Functionality & Features
2716,adjustments,Comfort & Ergonomics
2717,wet road,road terrain
2718,lowering backseats,climate / temperature control
2719,back door bins,climate / temperature control
2720,headlight design,Design
2721,base x1,model / generic car terms
2722,headlight control,lighting
2723,interior,interior
2724,sun roof,roof
2725,backseat head room,climate / temperature control
2726,carrying three in the back,climate / temperature control
2727,footroom,passenger space
2728,air suspension comfy setting,Comfort & Ergonomics
2729,gi .a.,
2730,third row seat,seats
2731,on road,road terrain
2732,downshifts,transmission
2733,cables,connectivity / integration
2734,drive settings,model / generic car terms
2735,loading things,boot/cargo
2736,storage by steering,steering
2737,sport setting,model / generic car terms
2738,handling limit,Driving Dynamics / Handling
2739,off ramp,road terrain
2740,city driving,drive
2741,electric assistant,driver assistance
2742,result,
2743,"30,000 miles",Distance / Efficiency / Mileage
2744,turn in,cornering
2745,displays,displays / instrumentation
2746,window down,aerodynamics / airflow
2747,tt,model / generic car terms
2748,transition,seats
2749,navigation control,navigation / mapping
2750,virtual cockpit instrument,displays / instrumentation
2751,bmw launch control,model / generic car terms
2752,side mirrors,mirrors
2753,beams,
2754,q a8,model / generic car terms
2755,back features,Functionality & Features
2756,advantages,Functionality & Features
2757,systems,software / interaction
2758,proposition,seats
2759,power liftgate,engine/ power train
2760,corner grip,cornering / grip
2761,vision,visibility & view
2762,sport plus mode,Driving Dynamics / Handling
2763,rear armrest,seats
2764,handling balance,traction / stability
2765,steering sport,steering
2766,front bumpers,road terrain
2767,gearbox manual mode,
2768,most plastics,exterior materials & finish
2769,engine versions,engine / power train
2770,engine turn off,engine / power train
2771,lumbar support,seats
2772,brake temperature,brake
2773,backseat for people over 6 4,climate / temperature control
2774,gear shifts,transmission
2775,doors,doors
2776,seats,seats
2777,sightlines,visibility & view
2778,rear balance,traction / stability
2779,window line,aerodynamics / airflow
2780,boot section,boot/cargo
2781,gearbox response,transmission
2782,windscreen map,windscreen / wipers
2783,fit,build quality / construction
2784,load area,boot/cargo
2785,suspension settings,model / generic car terms
2786,alexis i,model / generic car terms
2787,back shape,Design
2788,convertibles,body type
2789,amg gt,model / generic car terms
2790,sport mode steering,steering
2791,climate controls,climate / temperature control
2792,screen clarity,displays / instrumentation
2793,steering buttons,steering
2794,turns,cornering
2795,pockets,storage & utility
2796,tailgate opening,doors
2797,g l a4,model / generic car terms
2798,cruise control,driver assistance
2799,soundproofing,roof
2800,two litre diesel,fuel / energy / charging
2801,bmw 7 60 li,model / generic car terms
2802,general qualities,Functionality & Features
2803,boot lid,boot/cargo
2804,design feature,Functionality & Features
2805,frontal progressions,
2806,kit,options & specifications
2807,body shell,body class
2808,power buildup,build quality / construction
2809,height,dimensions & measurements
2810,all wheel drive,drive
2811,optional surrounding cameras,cameras
2812,engine,engine / power train
2813,pulses,audio
2814,tyre roll,
2815,new m3,model / generic car terms
2816,seven series,model / generic car terms
2817,petrol charging,fuel / energy / charging
2818,quick charge system,fuel / energy / charging
2819,airflow,aerodynamics / airflow
2820,infotainment platform,software / interaction
2821,noise,audio
2822,deals,value / cost
2823,under the car,model / generic car terms
2824,digital gauge cluster,displays / instrumentation
2825,charging the battery,model / generic car terms
2826,manoeuvring,steering
2827,voice grins,road terrain
2828,feature,Functionality & Features
2829,engine pulling power,engine / power train
2830,manual driving,transmission
2831,cushioning,seats
2832,m two,model / generic car terms
2833,family car,body type
2834,powertrain,engine/ power train
2835,scuff plate,
2836,a4,model / generic car terms
2837,steering response,steering
2838,seat,seats
2839,whole,Functional Features
2840,old v8 sound,engine/ power train
2841,profile,Design
2842,turning volume with index finger,cornering
2843,headspace,climate / temperature control
2844,layout,design
2845,internet connectivity package,climate / temperature control
2846,new rs6 300d gt-r,model / generic car terms
2847,carbon fibre engine cover,engine / power train
2848,rear seat headroom,seats
2849,portfolio,Functionality & Features
2850,automatic engine shutoff,engine / power train
2851,steer,steering
2852,sl c300,model / generic car terms
2853,luxury,emotional & sensory experience
2854,seat shape,Design
2855,backseat,climate / temperature control
2856,panels,body class
2857,bins,storage & utility
2858,body panels,body class
2859,offer,value / cost
2860,traditional amber lighting,lighting
2861,brand,
2862,corner breaking,cornering
2863,eight speed automatic transmission,transmission
2864,corners,cornering
2865,trim without extra bits,Design
2866,new g class,model / generic car terms
2867,type,
2868,handling appeal,Driving Dynamics / Handling
2869,steering turn,steering
2870,full sports plus mode,Driving Dynamics / Handling
2871,x drive system,drive
2872,heavy items,boot/cargo
2873,fuel momentum99,fuel / energy / charging
2874,audi rs,model / generic car terms
2875,wifi speed,connectivity / integration
2876,grip,cornering / grip
2877,shopping basket,boot/cargo
2878,compartmentalize stuff,storage & utility
2879,daily traffic,road terrain
2880,rear apron,boot/cargo
2881,rev limit,engine/ power train
2882,v10 engine,engine / power train
2883,dynamic ability,Driving Dynamics / Handling
2884,clutch,transmission
2885,drive mode,drive
2886,aluminium finish,interior materials & trim / finish
2887,insulation,
