,gold outputs,predictions
644,"(ergonomics, working, neutral); (Q3, impresses, positive); (balance, supremely well balanced, positive); (corner handling, threads through with agility, positive)","(ergonomics, working, neutral); (Q3, impresses, positive); (balance, supremely well balanced, positive); (corner handling, threads through with agility, positive)"
645,"(steering system, precisely callibrated, positive); (car, dedicated sports, positive); (sound, quieter cabin, positive); (ride, smoother, positive); (handling, runs the table, positive); (ride, runs the table, positive)","(steering, precisely callibrated, positive); (car, dedicated sports, positive); (sound, quieter cabin, positive); (ride, smoother, positive); (handling, runs the table, positive); (ride, runs the table, positive); (ride, runs the table, positive); (ride, runs the table, positive); (ride, runs the table, positive); (ride, runs the table, positive); (ride, runs the table, positive); (ride, runs the table, runs the table,"
646,"(acceleration, won't set the world alight, neutral); (power, not yearning for more, positive)","(acceleration, won't set the world alight, neutral); (power, not yearning for more, positive)"
647,"(fuel economy, middling, negative); (X1 X Drive 28, more powerful, positive)","(fuel economy, middling, negative); (X1 X Drive 28, more powerful, positive)"
648,"(center stack, high praise, positive); (center stack, well thought out, positive); (steering wheel controls, well thought out, positive)","(center stack, high praise, positive); (center stack, well thought out, positive); (steering wheel controls, well thought out, positive)"
649,"(control interface, logically laid out, positive); (driver distraction, minimize, positive); (graphics, most beautiful, positive)","(control interface, logically laid out, positive); (driver distraction, minimize, positive); (graphics, most beautiful, positive)"
650,"(upholstery, leather, positive); (starting price, slew of premium standards, positive)","(upholstery, leather, positive); (starting price, slew of premium standards, positive)"
651,"(front seats, heated, positive); (roof, moon, positive); (roof, panoramic, positive); (roof rails, aluminium, neutral)","(front seats, heated, positive); (roof, moon, positive); (roof, panoramic, positive); (roof rails, aluminium, neutral)"
652,"(wipers, rain sensing, positive); (SD card slot, utterly useless, negative)","(wipers, rain sensing, positive); (SD card slot, utterly useless, negative)"
653,"(None, None, None)","(None, None, None)"
654,"(None, None, None)","(None, None, None)"
655,"(amenities, executive class, positive); (front seats, ventilated, positive); (cruise control, adaptive, neutral); (value, terrific, positive); (base X1, alluring, positive); (starting price, BMW cant hold candle to comparably equipped Audi Q3, positive); (value, middle, neutral); (comfort, middle, neutral); (dynamism, middle, neutral)","(amenities, executive class, positive); (front seats, ventilated, positive); (cruise control, adaptive, neutral); (value, terrific, positive); (base X1, alluring, positive); (starting price, BMW cant hold candle to comparably equipped Audi Q3, positive); (value, middle, neutral); (comfort, middle, neutral); (dynamism, middle, neutral)"
656,"(SUV, small, negative); (SUV, luxury, positive)","(SUV, small, negative); (SUV, luxury, positive)"
657,"(Mercedes, tough, positive); (Mercedes, doesn't mind getting tough and dirty, positive); (drive, full all wheel, positive)","(Mercedes, doesn't mind getting tough and doesn't mind getting full all wheel drive, positive)"
658,"(car, feels connected to the road, positive); (car, could toss around, positive)","(car, feels connected to the road, positive); (car, could toss around, positive)"
659,"(SUV, big, positive); (SUV, tall, positive)","(SUV, big, positive); (SUV, tall, positive)"
660,"(miles per gallon, downside, negative); (miles per gallon, not all great, negative); (0 to 60 time, upside, positive); (feet adjustment, needed, positive)","(miles per gallon, downside, negative); (miles per gallon, not all great, negative); (0 to 60 time, upside, positive); (feet adjustment, needed, positive); (engine, sports, positive); (drive, all wheel, neutral); (engine, can customize, positive)"
661,"(tailgate, automatically opening, positive); (Mercedes, finer things in life, positive)","(tailgate, automatically opening, positive); (Mercedes, finer things in life, positive)"
662,"(leather, supple, positive)","(learther, supple, positive)"
663,"(sunroof, huge, positive); (sunroof, dual, neutral)","(sunroof, huge, positive); (sunroof, dual, neutral)"
664,"(user interface, mordern, positive); (user interface, multifunction, positive); (user interface, frankly quite confusing, negative)","(user interface, mordern, positive); (user interface, multifunction, positive); (user interface, frankly quite confusing, negative)"
665,"(car, hits sweet spot of small luxury SUV, positive); (type, SUV, neutral)","(car, hits sweet spot of small luxury SUV, positive); (type, SUV, neutral)"
666,"(None, None, None)","(None, None, None)"
667,"(technology, more built into the seat, positive); (seat, three levels of heating, positive); (seat, three levels of cooling, positive); (seat, four levels of massage, positive); (seat, 80 different adjustments, positive); (seat, three levels of air scarf, positive); (seat, side bolsters push against the side, negative)","(technology, more built into the seat, positive); (seat, three levels of heating, positive); (seat, three levels of cooling, positive); (seat, four levels of massage, positive); (seat, 80 different adjustments, positive); (seat, three levels of air scarf, positive); (seat, side bolsters push against the side, negative)"
668,"(Mercedes- Benz, sign of wealth, positive); (Mercedes- Benz, sign of power, positive); (Mercedes- Benz, sign of prestige, positive); (car, fast lane, positive); (weight, not exactly light, neutral); (car, A3 traits, neutral); (car, halo, positive)","(Mercedes- Benz, sign of wealth, positive); (Mercedes- Benz, sign of power, positive); (Mercedes- Benz, sign of prestige, positive); (car, fast lane, positive); (weight, not exactly light, neutral); (car, A3 traits, neutral); (car, halo, positive)"
669,"(car, power, positive); (car, prestige, positive); (car, technology, positive)","(car, power, positive); (car, prestige, positive); (car, technology, positive)"
670,"(None, None, None)","(None, None, None)"
671,"(None, None, None)","(None, None, None)"
672,"(V8 engine, favorite, positive); (engine, avoid gas guzzler tax, positive); (engine, pretty cool, positive); (engine, crazy fast, positive)","(V8 engine, favorite, positive); (engine, avoid gas guzzler tax, positive); (engine, pretty cool, positive); (engine, crazy fast, positive)"
673,"(0 to 60 time, fast, positive); (0 to 60 time, seriously fast, positive)","(0 to 60 time, fast, positive); (0 to 60 time, seriously fast, positive)"
674,"(looks, downright frumpy, negative); (front, bronze, neutral); (looks, designed by a committee of three, negative); (looks, menacing, negative); (looks, elegant, positive); (looks, hard combination to pull off, negative)","(looks, downright frumpy, negative); (front, bronze, neutral); (looks, designed by three different people, negative); (looks, menacing, negative); (looks, elegant, positive); (looks, hard combination to pull off, negative)"
675,"(car, pretty darn quick, positive); (outside, glorious, positive)","(car, pretty darn quick, positive); (outside, glorious, positive)"
676,"(suspension, adjust within a millisecond, positive); (turn, flying around, positive); (door, love, positive); (door, completely flat, positive); (door, neutral, neutral); (steering, little numb, negative); (breaking, non-linear, negative); (car, not the sharpest knife in the drawer, negative); (car, not race car, positive); (balance, fine for GT, positive); (steering, fine for GT, positive); (breaking, fine for GT, positive)","(suspension, adjust within a millisecond, positive); (turn, flying around, positive); (door, love, positive); (door, completely flat, positive); (door, neutral, neutral); (steering, not the sharpest knife in the drawer, negative); (breaking, fine, positive); (steering, balance is fine, positive); (steering, fine for breaking, positive)"
677,"(looks, Aston Martin better looking than this, negative)","(looks, Aston Martin better looking than this, negative)"
678,"(Porsche 911, better performance, positive); (BMW 6 50, better exhaust note, positive)","(Porsche 911, better performance, positive); (BMW 6 50, better exhaust note, positive)"
679,"(SL, does everything, positive)","(SL, does everything, positive)"
680,"(top cover, stupid, negative)","(top cover, stupid, negative)"
681,"(technology, so much, positive)","(technology, so much, positive)"
682,"(None, None, None)","(None, None, None)"
683,"(seats, heated, positive); (seats, cooled, positive); (air scarf, blow gentle breeze, positive); (car, every creature comfort, positive)","(seats, heated, positive); (seats, cooled, positive); (air scarf, blow gentle breeze, positive); (car, every creature comfort, positive)"
684,"(Magic sky Control, biggest party trick, positive); (sunroof, cool, positive)","(Magic sky Control, biggest party trick, positive); (sunroof, cool, positive)"
685,"(Mercedes-Benz, sign of power, positive); (Mercedes-Benz, sign of wealth, positive); (Mercedes-Benz, sign of prestige, positive)","(Mercedes-Benz, sign of power, positive); (Mercedes-Benz, sign of wealth, positive); (Mercedes-Benz, sign of prestige, positive)"
686,"(torque, huge smile, positive)","(torque, huge smile, positive)"
687,"(car seat, fast lane, positive)","(car seat, fast lane, positive)"
688,"(sound, better, positive); (sound, better than forsooth, positive)","(sound, better forsooth, positive)"
689,"(price, least expensive SL, positive); (power, least powerful SL, negative)","(price, least expensive SL, negative); (power, least powerful, negative)"
690,"(None, None, None)","(None, None, None)"
691,"(None, None, None)","(None, None, None)"
692,"(engine, smallest, negative); (sport mode, faster than comfort mode, positive); (car, potentially slower than Mercedes, negative); (sport mode, faster than comfort mode, neutral)","(sport mode, faster than comfort mode, positive); (car, smallest, negative); (sport mode, could be slower than Mercedes, negative); (steering, sport mode, neutral)"
693,"(control, lot of different variables, positive)","(control, lot of different variables, positive)"
694,"(exhaust note, changes, neutral); (exhaust note, baffles open, positive); (exhaust note, changes, positive); (sound, better, positive)","(exhaust note, baffles open, positive); (exhaust note, changes, positive); (exhaust note, sounds better, positive)"
695,"(sport mode, slower than comfort, negative)","(sport mode, slower than comfort, negative)"
696,"(SL, least luxurious, negative); (power, least powerful, negative)","(SL, least luxurious, negative); (SL, least powerful, negative)"
697,"(options, stuffed full of, positive); (door, soft closed, positive); (roof, magic, positive); (roof, transparent, positive); (roof, transforms how much light comes into the cabin, positive); (seats, massaging, positive); (air scarf, wops warm air, positive)","(options, stuffed full of, positive); (door, soft closed, positive); (roof, magic, positive); (roof, transparent, positive); (roof, transforms how much light comes into the cabin, positive); (seats, massaging, positive); (air scarf, wops warm air, positive)"
698,"(turbos, spool up, neutral)","(turbos, spool up, neutral)"
699,"(accelerations, mode have no direct impact, neutral); (mile above sea level, slower, negative)","(accelerations, mode have no direct impact, neutral); (mile above sea level, slower, negative)"
700,"(None, None, None)","(None, None, None)"
701,"(car, pretty darn luxurious, positive); (car, pretty darn fast, positive); (car, perfect for sweet 16 gift, positive); (car, still fast, positive); (car, still safe, positive); (car, still fun to drive, positive); (car, fast lane, positive); (Mercedes, perfect sweet 16, positive)","(car, pretty darn luxurious, positive); (car, pretty darn fast, positive); (car, perfect for sweet 16 gift, positive); (car, still fast, positive); (car, still safe, positive); (car, still fun to drive, positive); (car, fast lane, positive); (Mercedes, perfect sweet 16, positive)"
702,"(None, None, None)","(None, None, None)"
703,"(car, absolutely gorgeous, positive); (headlights, led accents, positive); (BMW, best accents, positive); (Mercedes-Benz accents, topped them all, positive); (drive, all wheel, neutral); (tyres, summer, neutral); (tyres, absolutely useless in snow, positive)","(car, absolutely gorgeous, positive); (headlights, led accents, positive); (BMW, best accents, positive); (Mercedes-Benz accents, topped them all, positive); (drive, all wheel, neutral); (snow, absolutely useless, negative)"
704,"(drive, all four wheels, neutral)","(drive, all four wheels, neutral)"
705,"(sea level, faster, positive); (0 to 60 time, surprising, neutral); (0 to 60 time, fast, positive)","(sea level, faster, positive); (0 to 60, faster, positive); (0 to 60, slightly less expensive, negative); (0 to 60, faster, positive)"
706,"(control, unfortunately computer does more controlling of the vehicle, negative); (car, mordern, positive)","(control, unfortunately computer does more controlling of the vehicle, negative); (car, mordern, positive)"
707,"(torque, way stronger, positive); (sound, better, positive)","(torque, way stronger, positive); (sound, better, positive)"
708,"(None, None, None)","(None, None, None)"
709,"(0 to 60 time, boring, neutral); (0 to 60 time, identical, neutral)","(0 to 60, boring, neutral); (0 to 60, identical, neutral)"
710,"(acceleration, fastest possible, positive); (gear shift, as quickly as possible, positive); (car, gives youall the beans in either mode, neutral)","(acceleration, fastest possible, positive); (gear shift, as quickly as possible, positive); (car, gives youall the beans in either mode, neutral)"
711,"(None, None, None)","(None, None, None)"
712,"(seatbelt, hands you like a butler, positive); (seatbelt, tightens when you start the engine, positive); (seatbelt, interesting, positive)","(seatbelt, hands you like a butler, positive); (seatbelt, tightens when you start the engine, positive); (seatbelt, interesting, positive)"
713,"(car, fast lane, positive)","(car, fast lane, positive)"
714,"(power allocation, cool, positive)","(power allocation, cool, positive); (badge, can't get up a hill, negative); (badge, no problem, positive); (road, brand new, positive); (road, good, positive); (drive, all wheel, neutral); (power, allocates to rear wheels, neutral); (car, awesome, positive); (size, small, negative); (car, sleek, positive); (looks, mean, positive)"
715,"(looks, badass, positive); (vehicle, vicious, positive)","(looks, badass, positive); (vehicle, vicious, positive)"
716,"(None, None, None)","(None, None, None)"
717,"(engine, heavily heavily modified, positive); (engine, able to propel that weighs heavily on, positive); (weight, tons like God, neutral)","(engine, heavily heavily modified, positive); (engine, able to propel that weighs heavily on, positive); (weight, tons like God, neutral)"
718,"(car, like a scalded cat, positive)","(car, like a scalded cat, positive)"
719,"(traction control, really intrusive, negative); (traction control, problem, negative)","(traction control, really intrusive, negative); (traction control, problem, negative)"
720,"(wheels, big, neutral)","(wheels, big, neutral)"
721,"(wheels, do a lot more, positive); (exterior design, lot more bulky, positive); (height, lower looking vehicle, neutral); (looks, blow through a border into another country very quickly, positive)","(wheels, do a lot more, positive); (exterior design, lot more bulky, positive); (height, lower looking vehicle, neutral); (looks, blow through a border into another country very quickly, positive)"
722,"(wheels, amazing, positive); (wheels, beautiful, positive); (wheels, fantastic, positive)","(wheels, amazing, positive); (wheels, beautiful, positive); (wheels, fantastic, positive)"
723,"(height, a little low, neutral); (car, lot of street presence, positive); (looks, a bit more purposeful, positive)","(height, a little low, neutral); (car, lot of street presence, positive); (looks, a bit more purposeful, positive)"
724,"(steering, heavy, negative); (steering, frankly doesn't communicate well, negative); (steering weight, okay, neutral); (rear end, out a little bit, neutral)","(steering, heavy, negative); (steering, frankly doesn't communicate well, negative); (steering weight, okay, neutral); (rear end, out a little bit, neutral)"
725,"(None, None, None)","(None, None, None)"
726,"(exterior, gangster, positive); (engine, gangster, positive); (interior, boss, positive); (interior, one of the nicest, positive); (interior, outdone themselves, positive); (seats, most comfortable, positive); (interior, fantastic place, positive); (interior, beautiful wood, positive); (interior, dark wood, positive); (learther, dark, neutral); (interior, raised white stitching, neutral)","(exterior, gangster, positive); (engine, gangster, positive); (interior, boss, positive); (interior, one of the nicest, positive); (interior, outdone themselves, positive); (seat, most comfortable, positive); (interior, fantastic place, positive)"
727,"(head rest not put up, pain, negative); (seating, honestly uncomfortable, negative); (third row space, little bit, negative); (third row space, not good enough for adult, negative); (get in and out, terrified of hurting the seats, negative)","(head rest not put up, pain, negative); (seating, honestly uncomfortable, negative); (third row space, little bit, negative); (third row space, not good enough for adult, negative); (get in and out, terrified of hurting the seats, negative)"
728,"(car, was faster, positive); (car, wasn't pretty way faster, negative)","(car, was faster, positive); (car, wasn't pretty way faster, negative)"
729,"(sea level, second slower, negative); (car, still really, really, really, really, really fast, positive); (car, quick, positive); (power, so much, positive); (weight, pretty much close, positive); (weight, heavier than a lot of pickup trucks, positive); (weight, lot of meat, positive)","(sea level, second slower, negative); (car, still really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really,"
730,"(towing, just wierd, positive); (seats, fall down with a push of a button, positive); (seats, do fall flat, positive); (space, lot of extra underneath seats, positive); (down storage, just an inflation kit, neutral); (down storage, great place to keep weapons, positive); (utility, reallly does have, positive); (comfort, ton of, positive)","(towing, just wierd, positive); (seats, fall down with a push of a button, positive); (space, lot of extra, positive); (boot capacity, plenty of, positive); (car, ton of comfort, positive); (utility, some, positive); (car, little, positive)"
731,"(None, None, None)","(None, None, None)"
732,"(engine note, glorious, positive)","(engine note, glorious, positive)"
733,"(None, None, None)","(None, None, None)"
734,"(car, what a beast, positive); (car, angry crossover SUV, positive); (car, too many solid things, positive); (car, bigger, positive); (car, better, positive); (car, meaner, positive); (price, lot of money, negative)","(car, what a beast, positive); (car, angry crossover SUV, positive); (car, too many solid things, positive); (car, bigger, positive); (car, better, positive); (car, meaner, positive); (price, lot of money, negative)"
735,"(None, None, None)","(None, None, None)"
736,"(None, None, None)","(None, None, None)"
737,"(drive, a lot easier, positive)","(drive, a lot easier, positive)"
738,"(weight, three tons, neutral); (corner, horrible done, negative); (car, beast, negative); (purchase, like but reallistically not buy, negative); (size, too big, negative); (size, too much, negative); (purchase, would lease, positive); (vehicle, awesome around the track, positive); (size, so big, negative); (car, mean, negative)","(weight, three tons, neutral); (corner, horrible done, negative); (car, beast, negative); (vehicle, awesome, positive); (vehicle, mean for fast lane, positive); (vehicle, awesome, positive); (vehicle, absolutely love, positive); (vehicle, very very grand touring, positive); (size, so big, positive); (car, mean for fast driving, positive)"
739,"(Mercedes-Benz, brand new, positive); (engine choices, new, positive)","(Mercedes-Benz, brand new, positive); (engine choices, new, positive)"
740,"(exterior styling, new, positive); (interior, new, positive)","(exterior styling, new, positive); (interior, new, positive)"
741,"(None, None, None)","(None, None, None)"
742,"(looks, lot like S class, neutral); (looks, baby s class strong family rememblance, neutral); (aluminium, new, neutral); (external panel, pretty much every aluminium, positive); (weight, lighter, positive)","(looks, lot like S class, neutral); (looks, baby s class strong family rememblance, neutral); (aluminium, new, neutral); (external panel, pretty much every aluminium, positive); (weight, lighter, positive)"
743,"(torque, lot of, positive); (power, lot of, positive); (drive, all four wheels, neutral)","(torque, lot of, positive); (power, lot of, positive); (drive, all four wheels, neutral)"
744,"(Big Boy Twin Turbo, really good, positive)","(Big Boy Twin Turbo, really good, positive)"
745,"(horsepower, quite frankly phenomenal, positive)","(horsepower, quite frankly phenomenal, positive)"
746,"(C class, by far the most elegant, positive); (C class, nicest in my mind, positive); (BMW, little too austere, negative); (Audi, little long in the tooth, negative); (interior, elegant, positive); (interior, stylish, positive); (interior, soft, positive); (interior, looks expensive, positive); (interior, that's what you want, positive); (interior, expensive, positive)","(C class, by far the most elegant, positive); (C class, nicest in my mind, positive); (BMW, little too austere, negative); (Audi, little long in the tooth, negative); (interior, elegant, positive); (interior, stylish, positive); (interior, soft, positive); (interior, looks expensive, positive); (interior, that's what you want, positive); (interior, expensive, positive)"
747,"(feels, a lot bigger, neutral); (drives, a lot bigger, neutral); (size, more of an e class than c class, neutral); (theme, more luxurious one, positive); (weight, lighter, positive); (size, bigger, neutral)","(feels, a lot bigger, neutral); (drives, a lot bigger, neutral); (size, more of an e class than c class, neutral); (car, more luxurious, positive); (weight, lighter, positive); (size, bigger, positive)"
748,"(back, lot more room, positive); (back, four inches longer, positive); (knee room, more, positive); (legroom, more, positive); (car, more of an eclass, positive); (headroom, little bit tight, negative)","(back, lot more room, positive); (back, four inches longer, positive); (knee room, more, positive); (legroom, more, positive); (car, more of an eclass, positive); (headroom, little bit tight, negative)"
749,"(sunroof, panoramic, positive); (sunroof, cool, positive)","(sunroof, panoramic, positive); (sunroof, cool, positive)"
750,"(turbo lag, little bit, negative); (torque, oh my gosh, positive); (torque, just kicks in, positive); (torque, feels phenomenal, positive); (size, lot bigger, neutral); (car, doesnt feel agile, negative); (car, doesn't feel quite like it wants to dance as much, negative); (car, more of a touring, positive)","(turbo lag, little bit, negative); (torque, oh my gosh, positive); (torque, just kicks in, positive); (torque, feels phenomenal, positive); (size, lot bigger, neutral); (car, doesnt feel agile, negative); (car, doesn't feel quite like it wants to dance as much, negative); (car, more of a touring, positive)"
751,"(car, luxury, positive); (settings, obligatory, neutral); (air suspension, works, positive); (horsepower, would like more in sports plus mode, positive)","(car, luxury, positive); (settings, obligatory, neutral); (air suspension, works, positive); (horsepower, would like more, positive)"
752,"(safety features, ful suite, positive); (drive itself, hit the brakes for you, positive); (drive itself, really cool stuff, positive); (steering, active, positive); (technology, sweet, positive)","(safety features, ful suite, positive); (drive itself, hit the brakes for you, positive); (drive itself, really cool stuff, positive); (technology, sweet, positive); (technology, transfers much quicker, positive); (top model, nicest stuff, positive); (price point, much lower, negative)"
753,"(None, None, None)","(None, None, None)"
754,"(design, characteristics from S class, positive); (car, something customers are looking for, positive); (quality, different, neutral); (fit, different, neutral); (finish, different, neutral)","(design, characteristics from S class, positive); (car, something customers are looking for, positive); (quality, different, neutral); (fit, different, neutral); (finish, different, neutral)"
755,"(drive, all wheel, neutral); (drive version, interesting, positive); (car, luxurious, positive); (price, more expensive, negative)","(drive, all wheel, neutral); (drive version, interesting, positive); (car, luxurious, positive); (price, more expensive, negative)"
756,"(touch pad, big news, positive); (command system, old Mercedes, neutral); (command system, still works, neutral); (screen, little bit bigger, positive); (touch pad, cross between an iPhone, positive); (system, nice, positive); (system, like, positive)","(touch pad, big news, positive); (command system, old Mercedes, neutral); (command system, still works, neutral); (screen, little bit bigger, positive); (touch pad, nice, positive); (system, like better than this one, positive); (system, nice, positive)"
757,"(steering, electronic, neutral); (steering, weighted nicely, positive); (steering, good sense of what wheels are doing, positive); (drive, push the car around confidently, positive); (slow road, poise, positive); (feels, rock solid, positive); (feels, on rails, positive)","(steering, electronic, neutral); (steering, weighted nicely, positive); (steering, good sense of what wheels are doing, positive); (drive, push the car around confidently, positive); (slow road, feels like on rails, positive); (bumps, feel on rails, positive); (bumps, not feel great, negative); (car, has a lot of muscle, positive); (car, has a lot of muscle, positive); (car, feels luxurious, positive)"
758,"(steering wheel, love, positive)","(steering wheel, love, positive)"
759,"(receiving position, comfortable, positive); (receiving position, sporty, positive); (sound, impressed with how quiet, positive); (sound, extra lengths to make it quiet, positive); (camera on the roof, little bit of whistle, neutral)","(receiving position, comfortable, positive); (receiving position, sporty, positive); (sound, impressed with how quiet, positive); (sound, extra lengths to make it quiet, positive); (camera on the roof, little bit of whistle, neutral)"
760,"(power, lot of, positive); (sound, not a lot of, positive); (BMW, most luxurious, positive); (Audi A4, oldest, negative); (Alexis I, size smaller, neutral); (Alexis I, much more nimble, positive); (car, chocolate luxury flavour icecream, positive); (car, true driver's car, positive); (overall, very impressed, positive); (car, best sense of German Automobiles, positive); (weight, lighter than its predecessor, positive)","(power, lot of, positive); (sound, not a lot of, positive); (car, most luxurious, positive); (size, smaller, neutral); (car, much more nimble, positive); (car, driver's, positive); (weight, up to £200 lighter, positive)"
761,"(None, None, None)","(None, None, None)"
762,"(handling, better, positive); (performance, better, positive); (fuel economy, increases, positive)","(handling, better, positive); (fuel economy, increases, positive)"
763,"(None, None, None)","(None, None, None)"
764,"(drive, very different, positive); (car, heavier, neutral)","(drive, very different, positive); (car, heavier, neutral)"
765,"(size, bigger, positive); (weight, lighter, positive); (size, bigger, positive); (looks, more handsome, positive); (weight, lighter, positive)","(size, bigger, positive); (weight, lighter, positive); (size, bigger, positive); (looks, more handsome, positive); (weight, lighter, positive)"
766,"(car, happy owning, positive); (drive, need to spend a little more time behind the wheel, positive)","(car, happy owning, positive); (drive, need to spend a little more time behind the wheel, positive)"
767,"(car, great for Colarado mountains, positive)","(car, great for Colarado mountains, positive)"
768,"(brakes, love, positive); (brakes, feels plant, positive); (brakes, feel solid, positive)","(brakes, love, positive); (brakes, feels plant, positive); (brakes, feel solid, positive)"
769,"(car, about right, positive); (car, about being grand touring, positive); (car, comfortable, positive); (car, luxurious, positive); (inside, everything makes you feel special, positive); (inside, nice touches, positive)","(car, about right, positive); (car, about being about being grand touring, positive); (car, comfortable, positive); (car, luxurious, positive); (inside, everything makes you feel special, positive); (inside, nice touches, positive)"
770,"(events, not great, negative); (wood grain, really bad, negative); (steering wheel, really bad, negative); (inside, crazy, negative); (inside, comfortable, positive)","(events, not great, negative); (steering wheel, really bad, negative); (inside, crazy, negative); (inside, comfortable, positive)"
771,"(car, comfortable, positive); (car, comfortable for big guy, positive)","(car, comfortable, positive); (car, comfortable for big guy, positive)"
772,"(car, sexy, positive); (car, magical, positive); (doors, two, neutral); (doors, lengthen, neutral); (car, sexy two door, neutral)","(car, sexy, positive); (car, magical, positive); (doors, two, neutral); (doors, lengthen, neutral); (car, sexy two door, neutral)"
773,"(car, longer, neutral); (car, wider, neutral); (belt line, new, positive); (belt line, runs the entire length, positive); (shape, more of a sexy coke bottle, positive); (design, ground up, neutral); (design, share many components with sedan, neutral); (wheelbase, same length, neutral); (seating, lower, neutral)","(car, longer, neutral); (car, wider, neutral); (belt line, new, positive); (belt line, runs the entire length, positive); (shape, more of a sexy coke bottle, positive); (design, ground up, neutral); (design, share many components with sedan, neutral); (wheelbase, same length, neutral); (seating, lower, neutral)"
774,"(styling, unique, positive); (car, feels like put together by one solid piece, positive)","(styling, unique, positive); (car, feels like put together by one solid piece, positive)"
775,"(drive, all wheel, positive); (snow, great for places with plenty of snow, positive)","(drive, all wheel, positive); (snow, great for places with plenty of snow, positive)"
776,"(None, None, None)","(None, None, None)"
777,"(air suspension, changes the way it can drive, neutral); (sport suspension, firms up, neutral); (steering, bit faster, positive); (steering, more precise, positive); (sport suspension, more of a widely inactive car, positive)","(air suspension, changes the way it can drive, neutral); (sport suspension, firms up, neutral); (steering, bit faster, positive); (steering, more precise, positive); (sport suspension, more of a widely inactive car, positive)"
778,"(exhaust note, more grunt, positive)","(exhaust note, more grunt, positive)"
779,"(car, luxury, positive)","(car, luxury, positive)"
780,"(comfort, can sit back, positive); (comfort, put your head back, positive); (comfort, cruise down the street, positive); (window, panoramic, positive); (feel, kind of sexy, positive); (car, footloose, positive); (car, free, positive)","(comfort, can sit back, positive); (comfort, put your head back, positive); (comfort, cruise down the street, positive); (window, panoramic, positive); (feel, kind of sexy, positive); (car, footloose, positive); (car, free, positive)"
781,"(steering wheel, flat bottom, neutral); (car, sporting ambitions, neutral); (car, more of a grand touring, neutral)","(steering wheel, flat bottom, neutral); (car, sporting ambitions, neutral); (car, more of a grand touring, neutral)"
782,"(inside, sense of being in own private space, positive); (seats, ultimately adjustable, positive); (seat, best in business adjustment, positive); (seat adjustment, very easy to use, positive); (seating position, comfortable, positive)","(inside, sense of being in own private space, positive); (seat, ultimately adjustable, positive); (seat, best in business, positive); (seat, very easy to use, positive); (seating position, comfortable, positive)"
783,"(design, a lot more attention focused, positive); (trim, wood, neutral); (design, nice flowing line, positive); (materials, very, very high quality, positive)","(design, a lot more attention focused, positive); (trim, wood, neutral); (design, nice flowing line, positive); (materials, very, very high quality, positive)"
784,"(room, as you would expect, positive); (comfort, as you would expect, positive); (practicality, everyday except for back, negative); (back, little bit smaller, neutral); (size, smaller, neutral); (door, two, neutral); (headroom, little bit less, negative); (seat, retracts out of the way, negative); (seat verdict, I don't fit, negative); (leg room, so far so good, positive); (seat, automatically moves forward, positive)","(room, as you would expect, positive); (comfort, as you would expect, positive); (practicality, everyday except for back, negative); (back, little bit smaller, neutral); (headroom, little bit less, negative); (seat, retracts out of the way, negative); (seat, so good, positive); (drive, automatic, positive); (seat, moves forward automatically, positive)"
785,"(handle, easy to use, positive)","(handle, easy to use, positive)"
786,"(back, very tight, negative)","(back, very tight, negative)"
787,"(car, very practical, positive)","(car, very practical, positive)"
788,"(rear seats, split folding 40 2040, positive); (rear seats, very very usable, positive)","(rear seats, split folding 40 2040, positive); (rear seats, very very usable, positive)"
789,"(None, None, None)","(None, None, None)"
790,"(car, sporty, positive); (car, not fast, positive); (character, more of a relaxed gran tour, positive)","(car, sporty, positive); (car, not fast, positive); (character, more of a relaxed gran tour, positive)"
791,"(None, None, None)","(None, None, None)"
792,"(steering, electric, neutral); (steering, lost tactile feel of actual road surface, negative); (steering, hard to feel the tire, negative)","(steering, electric, neutral); (steering, lost tactile feel of driving, negative); (steering, hard to feel any kind of rotation, negative)"
793,"(tail lights, very dramatic, positive)","(tail lights, very dramatic, positive)"
794,"(lights, full wraparound led, neutral)","(lights, full wraparound led, neutral)"
795,"(Mercedes-Benz star, prominent visuals, positive)","(Mercedes-Benz star, prominent visuals, positive)"
796,"(car, solid, positive)","(car, solid, positive)"
797,"(car, comfortable, positive); (car, confidence inspiring, positive); (car, even sexy, positive)","(car, comfortable, positive); (car, confidence inspiring, positive); (car, even sexy, positive)"
798,"(None, None, None)","(None, None, None)"
799,"(None, None, None)","(None, None, None)"
800,"(None, None, None)","(None, None, None)"
801,"(None, None, None)","(None, None, None)"
802,"(engine, hand built, positive); (drive, all four wheels, positive); (0 to 60, craziest number, positive); (speed, lot of, positive); (money, lot of, negative)","(engine, hand built, positive); (drive, all four wheels, positive); (0 to 60, craziest number, positive); (speed, lot of, positive); (price, lot of money, positive)"
803,"(off roader, really good, positive)","(off roader, really good, positive)"
804,"(vehicle, military, neutral); (horsepower, very small, negative); (car, sports, positive)","(vehicle, military, neutral); (horsepower, very small, negative); (car, sports, positive)"
805,"(car, retro, neutral); (looks, very similar to first generation, positive); (looks, completely and utterly new, positive)","(car, retro, neutral); (looks, very similar to first generation, positive); (looks, completely and utterly new, positive)"
806,"(None, None, None)","(None, None, None)"
