aspect,base_category,MAIN_CATEGORY
control system,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
race track,road terrain,HANDLING / DYNAMICS
premium plus package price,value / cost,DISTANCE / MEASUREMENT /  COST
creases,design,EMOTIONAL / SENSORY / VISUAL
s line ride,drive,POWERTRAIN / PERFORMANCE
rear passenger,passenger space,INTERIOR / COMFORT / ERGONOMICS
getting in the back,doors,EXTERIOR / STYLING / DESIGN
cummings,generic description & miscellaneous,GENERAL INFORMATION
dynamic clutch,transmission,POWERTRAIN / PERFORMANCE
m5 designation within tachometer,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
offroad height raise,road terrain,HANDLING / DYNAMICS
spaciousness,passenger space,INTERIOR / COMFORT / ERGONOMICS
road demeanor,road terrain,HANDLING / DYNAMICS
first few miles,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
road holding,road terrain,HANDLING / DYNAMICS
three in the back,passenger space,INTERIOR / COMFORT / ERGONOMICS
ergonomics,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
entry,doors,EXTERIOR / STYLING / DESIGN
platform,chassis / structural,STRUCTURAL
city noise,audio,EMOTIONAL / SENSORY / VISUAL
air intake,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
wheels,wheels & tyres,HANDLING / DYNAMICS
dash,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
side skirts,side section,EXTERIOR / STYLING / DESIGN
acoustic glass,windows / glass,EXTERIOR / STYLING / DESIGN
ipad stall screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
roof spoiler,roof,EXTERIOR / STYLING / DESIGN
back side headspace,passenger space,INTERIOR / COMFORT / ERGONOMICS
door down head,doors,EXTERIOR / STYLING / DESIGN
remote gesture control,gesture / motion controls,TECHNOLOGY / ELECTRONICS / SOFTWARE
noise levels,audio,EMOTIONAL / SENSORY / VISUAL
quilted leather,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
tour curve,road terrain,HANDLING / DYNAMICS
entire engine lineup,engine / power train,POWERTRAIN / PERFORMANCE
a6 backseats,seats,INTERIOR / COMFORT / ERGONOMICS
s class front seat,seats,INTERIOR / COMFORT / ERGONOMICS
roof panel,roof,EXTERIOR / STYLING / DESIGN
vehicle,generic description & miscellaneous,GENERAL INFORMATION
roof down,roof,EXTERIOR / STYLING / DESIGN
average speed,acceleration,POWERTRAIN / PERFORMANCE
storage,storage & utility,FUNCTIONAL / UTILITY FEATURES
middle seat legroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
full multi beam led headlights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
front wheel drive,drive,POWERTRAIN / PERFORMANCE
wheel,wheels & tyres,HANDLING / DYNAMICS
inside looks,design,EMOTIONAL / SENSORY / VISUAL
windscreen signature,windscreen / wipers,SAFETY
seatbelt straps,seats,INTERIOR / COMFORT / ERGONOMICS
center arm,seats,INTERIOR / COMFORT / ERGONOMICS
lift gate,boot / cargo,FUNCTIONAL / UTILITY FEATURES
sand,road terrain,HANDLING / DYNAMICS
gt three bumpy road,driving dynamics / handling,HANDLING / DYNAMICS
interior color,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
right hand drive steering wheel,steering,HANDLING / DYNAMICS
customization,functionality & features,FUNCTIONAL / UTILITY FEATURES
three series,model / generic car terms,GENERAL INFORMATION
phone cradle,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
few bumps,road terrain,HANDLING / DYNAMICS
interior trim,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
sound insulation,audio,EMOTIONAL / SENSORY / VISUAL
mile above sea level,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
rear track,dimensions & measurements,DISTANCE / MEASUREMENT /  COST
equipped levels,equipment,FUNCTIONAL / UTILITY FEATURES
tailgate,boot / cargo,FUNCTIONAL / UTILITY FEATURES
air events,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
storage(front passenger seat),storage & utility,FUNCTIONAL / UTILITY FEATURES
car engineering,engine / power train,POWERTRAIN / PERFORMANCE
brake pedal feel,brake,HANDLING / DYNAMICS
general goodness,functionality & features,FUNCTIONAL / UTILITY FEATURES
cabins,interior,INTERIOR / COMFORT / ERGONOMICS
back seat space,passenger space,INTERIOR / COMFORT / ERGONOMICS
windshield  intensity,windscreen / wipers,SAFETY
option list,options & specifications,GENERAL INFORMATION
sport seats,seats,INTERIOR / COMFORT / ERGONOMICS
brake discs,brake,HANDLING / DYNAMICS
command system,voice & commands,TECHNOLOGY / ELECTRONICS / SOFTWARE
roof bars,roof,EXTERIOR / STYLING / DESIGN
operation,functionality & features,FUNCTIONAL / UTILITY FEATURES
model,model / generic car terms,GENERAL INFORMATION
220 c d engine,engine / power train,POWERTRAIN / PERFORMANCE
ground clearance,dimensions & measurements,DISTANCE / MEASUREMENT /  COST
hands free,voice & commands,TECHNOLOGY / ELECTRONICS / SOFTWARE
front storage kit,storage & utility,FUNCTIONAL / UTILITY FEATURES
accelerating in comfort mode,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
carry three passengers in back,passenger space,INTERIOR / COMFORT / ERGONOMICS
new q3,model / generic car terms,GENERAL INFORMATION
modes,driving dynamics / handling,HANDLING / DYNAMICS
get snow off the car,road terrain,HANDLING / DYNAMICS
price,value / cost,DISTANCE / MEASUREMENT /  COST
steering feedback,steering,HANDLING / DYNAMICS
lip,exterior materials & finish,EXTERIOR / STYLING / DESIGN
back piano plastic,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
second row sound,audio,EMOTIONAL / SENSORY / VISUAL
wind intakes,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
cabin,interior,INTERIOR / COMFORT / ERGONOMICS
smaller bumps,road terrain,HANDLING / DYNAMICS
sensors,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
spokes,wheels & tyres,HANDLING / DYNAMICS
top down,roof,EXTERIOR / STYLING / DESIGN
color tone,design,EMOTIONAL / SENSORY / VISUAL
trip computer,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
door handle,doors,EXTERIOR / STYLING / DESIGN
panel gaps,build quality / construction,STRUCTURAL
pure electric range,fuel / energy / charging,POWERTRAIN / PERFORMANCE
load space,passenger space,INTERIOR / COMFORT / ERGONOMICS
hierarchy,packages / trims / variants,GENERAL INFORMATION
hold assist price,driver assistance,SAFETY
rs4,model / generic car terms,GENERAL INFORMATION
finishes,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
tray,storage & utility,FUNCTIONAL / UTILITY FEATURES
innovations,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
blind state monitoring,visibility & view,SAFETY
front suspension,suspension,HANDLING / DYNAMICS
fuel,fuel / energy / charging,POWERTRAIN / PERFORMANCE
damp,suspension,HANDLING / DYNAMICS
netting,storage & utility,FUNCTIONAL / UTILITY FEATURES
dynamic cruise control,driver assistance,SAFETY
amenities,functionality & features,FUNCTIONAL / UTILITY FEATURES
parking guidance system,driver assistance,SAFETY
turbo petrol,fuel / energy / charging,POWERTRAIN / PERFORMANCE
door,doors,EXTERIOR / STYLING / DESIGN
pedals and springs,physical controls,INTERIOR / COMFORT / ERGONOMICS
massage,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
built,build quality / construction,STRUCTURAL
feature set,functionality & features,FUNCTIONAL / UTILITY FEATURES
cargo hold,boot / cargo,FUNCTIONAL / UTILITY FEATURES
lincoln m . k . c,model / generic car terms,GENERAL INFORMATION
launch control,acceleration,POWERTRAIN / PERFORMANCE
options,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
compartment,storage & utility,FUNCTIONAL / UTILITY FEATURES
rain,road terrain,HANDLING / DYNAMICS
climate control dials,physical controls,INTERIOR / COMFORT / ERGONOMICS
badge,design,EMOTIONAL / SENSORY / VISUAL
metal area,exterior materials & finish,EXTERIOR / STYLING / DESIGN
electric steering,steering,HANDLING / DYNAMICS
bmw,model / generic car terms,GENERAL INFORMATION
happenings,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
real world testing,performance,POWERTRAIN / PERFORMANCE
audi badge,exterior materials & finish,EXTERIOR / STYLING / DESIGN
wagon,body type,EXTERIOR / STYLING / DESIGN
low speed,acceleration,POWERTRAIN / PERFORMANCE
front brakes discs,brake,HANDLING / DYNAMICS
glove box space,passenger space,INTERIOR / COMFORT / ERGONOMICS
navigating menus,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
glass,windows / glass,EXTERIOR / STYLING / DESIGN
skin,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
leather upgrade cost,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
response,driving dynamics / handling,HANDLING / DYNAMICS
foot and leg rest,seats,INTERIOR / COMFORT / ERGONOMICS
button,physical controls,INTERIOR / COMFORT / ERGONOMICS
dead paddle,physical controls,INTERIOR / COMFORT / ERGONOMICS
cell,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
door,doors,EXTERIOR / STYLING / DESIGN
audi a8,model / generic car terms,GENERAL INFORMATION
command online system,voice & commands,TECHNOLOGY / ELECTRONICS / SOFTWARE
wagon load,body type,EXTERIOR / STYLING / DESIGN
swivel,physical controls,INTERIOR / COMFORT / ERGONOMICS
body lines,body class,EXTERIOR / STYLING / DESIGN
bmw seven series,model / generic car terms,GENERAL INFORMATION
s c suspension,suspension,HANDLING / DYNAMICS
hybrid,fuel / energy / charging,POWERTRAIN / PERFORMANCE
disk,brake,HANDLING / DYNAMICS
drive train,drive,POWERTRAIN / PERFORMANCE
wheel arch intrusion,exterior materials & finish,EXTERIOR / STYLING / DESIGN
entry level diesel engine,engine / power train,POWERTRAIN / PERFORMANCE
upgraded screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
optional baskets,storage & utility,FUNCTIONAL / UTILITY FEATURES
rear headrooms,passenger space,INTERIOR / COMFORT / ERGONOMICS
gesture controls,gesture / motion controls,TECHNOLOGY / ELECTRONICS / SOFTWARE
sensation,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
e brake,brake,HANDLING / DYNAMICS
plastic,exterior materials & finish,EXTERIOR / STYLING / DESIGN
camera review,visibility & view,SAFETY
pull,acceleration,POWERTRAIN / PERFORMANCE
coupe,body type,EXTERIOR / STYLING / DESIGN
my vehicle,generic description & miscellaneous,GENERAL INFORMATION
head unit,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
sports standard,driving dynamics / handling,HANDLING / DYNAMICS
in the car,interior,INTERIOR / COMFORT / ERGONOMICS
driver seat heat dissipation,seats,INTERIOR / COMFORT / ERGONOMICS
rear seat combination,seats,INTERIOR / COMFORT / ERGONOMICS
boot capacity,boot / cargo,FUNCTIONAL / UTILITY FEATURES
quattro system,drive,POWERTRAIN / PERFORMANCE
satnav,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
load floor,boot / cargo,FUNCTIONAL / UTILITY FEATURES
center console,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
screen display,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
driving cars,drive,POWERTRAIN / PERFORMANCE
driver assistant system,driver assistance,SAFETY
category,generic description & miscellaneous,GENERAL INFORMATION
cabriole,body type,EXTERIOR / STYLING / DESIGN
driving function,drive,POWERTRAIN / PERFORMANCE
front seat side bolster,seats,INTERIOR / COMFORT / ERGONOMICS
central armrest,seats,INTERIOR / COMFORT / ERGONOMICS
accelerations,acceleration,POWERTRAIN / PERFORMANCE
sunshades,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
drag,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
steering sensitivity,steering,HANDLING / DYNAMICS
stop start system,engine / power train,POWERTRAIN / PERFORMANCE
backseat functions,functionality & features,FUNCTIONAL / UTILITY FEATURES
warning sound,audio,EMOTIONAL / SENSORY / VISUAL
benefits,value / cost,DISTANCE / MEASUREMENT /  COST
suspension spring,suspension,HANDLING / DYNAMICS
glc c300,model / generic car terms,GENERAL INFORMATION
offroadinfg,road terrain,HANDLING / DYNAMICS
accelerates,acceleration,POWERTRAIN / PERFORMANCE
stuff,generic description & miscellaneous,GENERAL INFORMATION
side bolsters,seats,INTERIOR / COMFORT / ERGONOMICS
intakes,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
normal suspension,suspension,HANDLING / DYNAMICS
car,generic description & miscellaneous,GENERAL INFORMATION
wheel base,chassis / structural,STRUCTURAL
feel,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
support under legs,seats,INTERIOR / COMFORT / ERGONOMICS
reversing camera definition,driver assistance,SAFETY
adjustment,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
top end rush,acceleration,POWERTRAIN / PERFORMANCE
supercar,model / generic car terms,GENERAL INFORMATION
magnifying glass,visibility & view,SAFETY
winding roads,road terrain,HANDLING / DYNAMICS
quattro wheel drive,drive,POWERTRAIN / PERFORMANCE
door mirror controller,doors,EXTERIOR / STYLING / DESIGN
electric platform,chassis / structural,STRUCTURAL
opening bonnet,bonnet,EXTERIOR / STYLING / DESIGN
three litre v sixty,engine / power train,POWERTRAIN / PERFORMANCE
bmw i a8 price,value / cost,DISTANCE / MEASUREMENT /  COST
fuel efficiency,fuel / energy / charging,POWERTRAIN / PERFORMANCE
storage cubbies,storage & utility,FUNCTIONAL / UTILITY FEATURES
a7 price,value / cost,DISTANCE / MEASUREMENT /  COST
crevice,road terrain,HANDLING / DYNAMICS
features,functionality & features,FUNCTIONAL / UTILITY FEATURES
battery pack,fuel / energy / charging,POWERTRAIN / PERFORMANCE
sound,audio,EMOTIONAL / SENSORY / VISUAL
engine start,engine / power train,POWERTRAIN / PERFORMANCE
exhaust crackle,exhaust,POWERTRAIN / PERFORMANCE
rough terrain,road terrain,HANDLING / DYNAMICS
exhaust pipe,exhaust,POWERTRAIN / PERFORMANCE
magic sky feature,roof,EXTERIOR / STYLING / DESIGN
boot useful features,boot / cargo,FUNCTIONAL / UTILITY FEATURES
massaging function,seats,INTERIOR / COMFORT / ERGONOMICS
stereo,audio,EMOTIONAL / SENSORY / VISUAL
engineering prowess,engine / power train,POWERTRAIN / PERFORMANCE
neighs,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
f40 5 a.m. g,model / generic car terms,GENERAL INFORMATION
audi x1,model / generic car terms,GENERAL INFORMATION
steering (sports mode),steering,HANDLING / DYNAMICS
snow storm,road terrain,HANDLING / DYNAMICS
steering (dynamic mode),steering,HANDLING / DYNAMICS
gear shifter,transmission,POWERTRAIN / PERFORMANCE
pine white,exterior materials & finish,EXTERIOR / STYLING / DESIGN
version,packages / trims / variants,GENERAL INFORMATION
get out,doors,EXTERIOR / STYLING / DESIGN
electricity fuel,fuel / energy / charging,POWERTRAIN / PERFORMANCE
v8 engine,engine / power train,POWERTRAIN / PERFORMANCE
x1,model / generic car terms,GENERAL INFORMATION
climate control location,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
s6,model / generic car terms,GENERAL INFORMATION
blind spot warning,safety,SAFETY
equipped,equipment,FUNCTIONAL / UTILITY FEATURES
rear seats,seats,INTERIOR / COMFORT / ERGONOMICS
brake pedal,brake,HANDLING / DYNAMICS
tracks drive,drive,POWERTRAIN / PERFORMANCE
eco pro,fuel / energy / charging,POWERTRAIN / PERFORMANCE
braking feel,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
turning,cornering,HANDLING / DYNAMICS
any given road,road terrain,HANDLING / DYNAMICS
carpet,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
loading heavy cargo,boot / cargo,FUNCTIONAL / UTILITY FEATURES
steering,steering,HANDLING / DYNAMICS
see,visibility & view,SAFETY
technology pack cost,value / cost,DISTANCE / MEASUREMENT /  COST
x line up,packages / trims / variants,GENERAL INFORMATION
inside,interior,INTERIOR / COMFORT / ERGONOMICS
work tables,storage & utility,FUNCTIONAL / UTILITY FEATURES
patterns,design,EMOTIONAL / SENSORY / VISUAL
underneath coating,exterior materials & finish,EXTERIOR / STYLING / DESIGN
trim,design,EMOTIONAL / SENSORY / VISUAL
ownership proposition,seats,INTERIOR / COMFORT / ERGONOMICS
second row legroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
hold assist system,driver assistance,SAFETY
interior color choices,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
foot brake,brake,HANDLING / DYNAMICS
torque capability,engine / power train,POWERTRAIN / PERFORMANCE
parking assist,driver assistance,SAFETY
base engine,engine / power train,POWERTRAIN / PERFORMANCE
software,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
feel,road terrain,HANDLING / DYNAMICS
fourth gear,transmission,POWERTRAIN / PERFORMANCE
camera gun,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
universal garage door opener,functionality & features,FUNCTIONAL / UTILITY FEATURES
front wheels,wheels & tyres,HANDLING / DYNAMICS
third generation,packages / trims / variants,GENERAL INFORMATION
backseat environment,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
few buttons,physical controls,INTERIOR / COMFORT / ERGONOMICS
new platforms,chassis / structural,STRUCTURAL
package,packages / trims / variants,GENERAL INFORMATION
prowess,performance,POWERTRAIN / PERFORMANCE
child seats,seats,INTERIOR / COMFORT / ERGONOMICS
pedals,brake,HANDLING / DYNAMICS
bump,road terrain,HANDLING / DYNAMICS
window seal,windows / glass,EXTERIOR / STYLING / DESIGN
rear row seat,seats,INTERIOR / COMFORT / ERGONOMICS
audi a6,model / generic car terms,GENERAL INFORMATION
view from back,visibility & view,SAFETY
energizing comfort control,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
piston calliper,brake,HANDLING / DYNAMICS
get in the car,doors,EXTERIOR / STYLING / DESIGN
bracing,chassis / structural,STRUCTURAL
torque,engine / power train,POWERTRAIN / PERFORMANCE
balance,traction / stability,HANDLING / DYNAMICS
protective system,driver assistance,SAFETY
cool features,functionality & features,FUNCTIONAL / UTILITY FEATURES
kicks,acceleration,POWERTRAIN / PERFORMANCE
font,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
stiffness,suspension,HANDLING / DYNAMICS
audi a4,model / generic car terms,GENERAL INFORMATION
modal,model / generic car terms,GENERAL INFORMATION
general quality,quality & durability,GENERAL INFORMATION
bodywork,body class,EXTERIOR / STYLING / DESIGN
bmw a5,model / generic car terms,GENERAL INFORMATION
backseat room,passenger space,INTERIOR / COMFORT / ERGONOMICS
front door bins,storage & utility,FUNCTIONAL / UTILITY FEATURES
high load floor,boot / cargo,FUNCTIONAL / UTILITY FEATURES
footroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
seat sliding forward,seats,INTERIOR / COMFORT / ERGONOMICS
pose,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
manual,transmission,POWERTRAIN / PERFORMANCE
picking the route,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
crystal,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
handled,driving dynamics / handling,HANDLING / DYNAMICS
track days,driving dynamics / handling,HANDLING / DYNAMICS
gas truck,fuel / energy / charging,POWERTRAIN / PERFORMANCE
technology pack,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
snow,road terrain,HANDLING / DYNAMICS
quattro drive,drive,POWERTRAIN / PERFORMANCE
fuel filler,fuel / energy / charging,POWERTRAIN / PERFORMANCE
ride suspension,suspension,HANDLING / DYNAMICS
lower side wall,side section,EXTERIOR / STYLING / DESIGN
speed limit,acceleration,POWERTRAIN / PERFORMANCE
class,body class,EXTERIOR / STYLING / DESIGN
audi q3,model / generic car terms,GENERAL INFORMATION
engine range,engine / power train,POWERTRAIN / PERFORMANCE
mercedes technology,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
rear doors,doors,EXTERIOR / STYLING / DESIGN
suspension choice,suspension,HANDLING / DYNAMICS
air conditioning,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
front end,front section,EXTERIOR / STYLING / DESIGN
getting rid of  v10,engine / power train,POWERTRAIN / PERFORMANCE
power train,engine / power train,POWERTRAIN / PERFORMANCE
split tailgate,boot / cargo,FUNCTIONAL / UTILITY FEATURES
extended cargo area,boot / cargo,FUNCTIONAL / UTILITY FEATURES
things,generic description & miscellaneous,GENERAL INFORMATION
volvo xc60 offroad,road terrain,HANDLING / DYNAMICS
control interface,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
blue and red stitches,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
engine sounds,engine / power train,POWERTRAIN / PERFORMANCE
traction,traction / stability,HANDLING / DYNAMICS
dynamic turn signals,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
petrol engine running,engine / power train,POWERTRAIN / PERFORMANCE
glove box,storage & utility,FUNCTIONAL / UTILITY FEATURES
ashtray,storage & utility,FUNCTIONAL / UTILITY FEATURES
back seat,seats,INTERIOR / COMFORT / ERGONOMICS
window switches,physical controls,INTERIOR / COMFORT / ERGONOMICS
grip level,traction / stability,HANDLING / DYNAMICS
sport back,body type,EXTERIOR / STYLING / DESIGN
q5,model / generic car terms,GENERAL INFORMATION
sloping roof,roof,EXTERIOR / STYLING / DESIGN
exhaust note,exhaust,POWERTRAIN / PERFORMANCE
door pockets,storage & utility,FUNCTIONAL / UTILITY FEATURES
front center,front section,EXTERIOR / STYLING / DESIGN
dynamic,driving dynamics / handling,HANDLING / DYNAMICS
tire design,design,EMOTIONAL / SENSORY / VISUAL
back of the car,rear section,EXTERIOR / STYLING / DESIGN
unlock,keys & lock,SAFETY
carrying three people in back,passenger space,INTERIOR / COMFORT / ERGONOMICS
cost steering,steering,HANDLING / DYNAMICS
fenders,body class,EXTERIOR / STYLING / DESIGN
tracks,dimensions & measurements,DISTANCE / MEASUREMENT /  COST
storage spaces,passenger space,INTERIOR / COMFORT / ERGONOMICS
minimalism,design,EMOTIONAL / SENSORY / VISUAL
a6,model / generic car terms,GENERAL INFORMATION
seat folding,seats,INTERIOR / COMFORT / ERGONOMICS
engine note,engine / power train,POWERTRAIN / PERFORMANCE
hardtop,roof,EXTERIOR / STYLING / DESIGN
logo,exterior materials & finish,EXTERIOR / STYLING / DESIGN
bench,seats,INTERIOR / COMFORT / ERGONOMICS
speed up,acceleration,POWERTRAIN / PERFORMANCE
drive system,drive,POWERTRAIN / PERFORMANCE
gearbox auto mode,transmission,POWERTRAIN / PERFORMANCE
build,build quality / construction,STRUCTURAL
ipod connector to stereo,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
differential,traction / stability,HANDLING / DYNAMICS
ring system,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
technologies,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
smooth road drive,drive,POWERTRAIN / PERFORMANCE
daily use,storage & utility,FUNCTIONAL / UTILITY FEATURES
hot hatch package,body type,EXTERIOR / STYLING / DESIGN
rear seat,seats,INTERIOR / COMFORT / ERGONOMICS
parcel shelf,storage & utility,FUNCTIONAL / UTILITY FEATURES
headliner,roof,EXTERIOR / STYLING / DESIGN
interior experience,interior,INTERIOR / COMFORT / ERGONOMICS
audio,audio,EMOTIONAL / SENSORY / VISUAL
wide tires,wheels & tyres,HANDLING / DYNAMICS
turn off option,engine / power train,POWERTRAIN / PERFORMANCE
touchpad,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
silver trim on steering,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
second row seats,seats,INTERIOR / COMFORT / ERGONOMICS
incredibly tight street,road terrain,HANDLING / DYNAMICS
opulence,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
boot space,passenger space,INTERIOR / COMFORT / ERGONOMICS
view forward,visibility & view,SAFETY
main screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
accelerate,acceleration,POWERTRAIN / PERFORMANCE
angular,design,EMOTIONAL / SENSORY / VISUAL
power release,engine / power train,POWERTRAIN / PERFORMANCE
offroad driving,drive,POWERTRAIN / PERFORMANCE
gt price,value / cost,DISTANCE / MEASUREMENT /  COST
wind noise,audio,EMOTIONAL / SENSORY / VISUAL
equipment level,equipment,FUNCTIONAL / UTILITY FEATURES
reversing,driver assistance,SAFETY
boot storage,storage & utility,FUNCTIONAL / UTILITY FEATURES
button to open the boot,boot / cargo,FUNCTIONAL / UTILITY FEATURES
rpm band,engine / power train,POWERTRAIN / PERFORMANCE
direction change,steering,HANDLING / DYNAMICS
steering wheel mounted controls,steering,HANDLING / DYNAMICS
folders,storage & utility,FUNCTIONAL / UTILITY FEATURES
digital display view change,visibility & view,SAFETY
engines,engine / power train,POWERTRAIN / PERFORMANCE
construction material,exterior materials & finish,EXTERIOR / STYLING / DESIGN
lighting,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
fuel budget,fuel / energy / charging,POWERTRAIN / PERFORMANCE
300d power,engine / power train,POWERTRAIN / PERFORMANCE
view of the vehicle,visibility & view,SAFETY
wheel drive,drive,POWERTRAIN / PERFORMANCE
adjustable lumbar support,seats,INTERIOR / COMFORT / ERGONOMICS
manual gearboxes,transmission,POWERTRAIN / PERFORMANCE
center tunnel,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
ending,generic description & miscellaneous,GENERAL INFORMATION
headrest pillows,seats,INTERIOR / COMFORT / ERGONOMICS
seatbelt,seats,INTERIOR / COMFORT / ERGONOMICS
definition,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
hold feature,functionality & features,FUNCTIONAL / UTILITY FEATURES
steering lock,keys & lock,SAFETY
x3,model / generic car terms,GENERAL INFORMATION
front curves,design,EMOTIONAL / SENSORY / VISUAL
sifting through menus,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
shock absorbers,brake,HANDLING / DYNAMICS
x1 x drive 28,drive,POWERTRAIN / PERFORMANCE
e break activation lever,brake,HANDLING / DYNAMICS
u turns,cornering,HANDLING / DYNAMICS
deceleration,brake,HANDLING / DYNAMICS
storage area,storage & utility,FUNCTIONAL / UTILITY FEATURES
petrol engine,engine / power train,POWERTRAIN / PERFORMANCE
bmw badge,exterior materials & finish,EXTERIOR / STYLING / DESIGN
openings,doors,EXTERIOR / STYLING / DESIGN
leather,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
engine sound,engine / power train,POWERTRAIN / PERFORMANCE
motorway,engine / power train,POWERTRAIN / PERFORMANCE
option packages,packages / trims / variants,GENERAL INFORMATION
overall interior quality,interior,INTERIOR / COMFORT / ERGONOMICS
stretch out,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
covering,exterior materials & finish,EXTERIOR / STYLING / DESIGN
temperature control,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
back window,windows / glass,EXTERIOR / STYLING / DESIGN
lift over height,dimensions & measurements,DISTANCE / MEASUREMENT /  COST
offroad pack,packages / trims / variants,GENERAL INFORMATION
audi a one,model / generic car terms,GENERAL INFORMATION
torque redirection,engine / power train,POWERTRAIN / PERFORMANCE
camera on the roof,roof,EXTERIOR / STYLING / DESIGN
lower speed,acceleration,POWERTRAIN / PERFORMANCE
standard system,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
power allocation,engine / power train,POWERTRAIN / PERFORMANCE
coin holders,storage & utility,FUNCTIONAL / UTILITY FEATURES
nooks,storage & utility,FUNCTIONAL / UTILITY FEATURES
two litre turbo size,engine / power train,POWERTRAIN / PERFORMANCE
warranty,value / cost,DISTANCE / MEASUREMENT /  COST
mirror cover,mirrors,SAFETY
driver seat,seats,INTERIOR / COMFORT / ERGONOMICS
